0,728235
1,728235
2,728235
3,728235
4,728235
5,765556
6,765556
7,765556
8,765556
9,765556
10,805665
11,805665
12,805665
13,805665
14,805665
15,839349
16,839349
17,839349
18,839349
19,839349
20,922570
21,922570
22,922570
23,922570
24,922570
25,988391
26,988391
27,988391
28,988391
29,988391
30,918115
31,918115
32,918115
33,918115
34,918115
35,1027253
36,1027253
37,1027253
38,1027253
39,1027253
40,1092565
41,1092565
42,1092565
43,1092565
44,1092565
45,1083177
46,1083177
47,1083177
48,1083177
49,1083177
50,1086971
51,1086971
52,1086971
53,1086971
54,1086971
55,998384
56,998384
57,998384
58,998384
59,998384
60,856373
61,856373
62,856373
63,856373
64,856373
65,633666
66,633666
67,633666
68,633666
69,633666
70,447610
71,447610
72,447610
73,447610
74,447610
75,664026
76,664026
77,664026
78,664026
79,664026
