"participant_code","mode_survey","assign_date","assign_week_day","actual_date","actual_week_day","actual_hour","age_or_range","age_or_mid_range","gender","full_or_part_time","work_role","edu","indiv_or_family_income","income_mid_range","place_birth","district","ethnicity","permanent_residence","num_usual_contacts","include_all_contacts","num_left_out","num_diary_contact","age_weights","houseSize","distance","weights"
19555774,1,373,7,400.518530092551,1,12,2,"21-40",1,1,1,"postsec",1,"20-39k",1,14,1,1,3,997,2,7,12.970168612192,"3",0.0838931305801551,1
19633207,1,317,7,354.730960648158,0,17,1,"21-40",1,2,4,"postsec",1,"<10k",1,10,1,1,4,1,9001,4,16.4473684210526,"4",0.229654370125443,1
19940509,1,352,7,369.522060185205,0,12,1,"0-10",1,999,999,"primary",2,"20-39k",1,13,1,1,4,1,9001,5,23.5294117647059,"4",0.488952413602823,1
19992114,0,331,7,331.957442129613,1,22,1,"21-40",0,1,1,"postsec",1,"20-39k",1,17,1,1,4,1,9001,7,12.9032258064516,"4",0.0882245126487788,1
20162067,0,16,7,14.9419907407137,0,22,2,"21-40",1,1,1,"secondary",1,"10-19k",1,13,1,1,4,997,20,3,12.9032258064516,"4",0.46430076772504,1
20456667,0,332,1,331.002418981516,1,0,2,"0-10",0,999,999,"unknown",2,"20-39k",1,13,1,1,5,1,9001,1,27.9329608938547,">=5",0.401052004419009,1
20542936,1,336,5,364.515648148139,0,12,1,"41-65",0,999,6,"postsec",1,"20-39k",1,2,1,1,4,1,9001,9,18.9035916824197,"4",0.37646296963396,1
20602985,0,81,2,82.764444444445,0,18,1,"41-65",1,2,6,"postsec",1,"20-39k",1,18,1,1,2,1,9001,9,18.9035916824197,"2",0.342455396260207,1
20931383,1,397,3,400.513726851903,1,12,1,"0-10",1,999,4,"primary",999,"unknown",1,16,1,1,4,999,9001,11,23.5294117647059,"4",0.185490374432433,1
21006078,1,333,2,354.549884259235,0,13,1,">65",0,999,6,"postsec",2,"20-39k",2,10,1,1,4,999,9001,3,18.9035916824197,"4",0.96180399310181,1
21070328,0,85,6,85.571956018568,1,13,1,"41-65",1,1,3,"postsec",1,"10-19k",1,3,1,1,3,1,9001,6,11.3636363636364,"3",0.353094690680219,1
21091572,0,331,7,331.79667824076,1,19,2,"41-65",1,999,999,"secondary",1,"10-19k",1,17,1,1,1,1,9001,2,11.3636363636364,"1",0.584798604738185,1
21228817,0,280,5,278.707071759272,0,16,1,"21-40",1,1,1,"unknown",999,"unknown",1,16,1,1,4,1,9001,9,12.9032258064516,"4",0.430461817315745,1
21493813,1,81,2,91.7194097222527,0,17,1,">65",0,999,6,"secondary",999,"unknown",1,5,1,1,2,999,9001,1,7.96178343949044,"2",0.963466078720426,1
21572472,0,204,6,204.882141203736,1,21,2,"41-65",1,999,999,"secondary",2,">=40k",1,13,1,1,4,1,9001,9,12.2399020807834,"4",0.339325009171743,1
21654428,0,323,6,321.629502314841,0,15,1,"21-40",1,1,4,"secondary",1,"<10k",2,14,1,1,6,997,100,8,15.3374233128834,">=5",0.527101682847404,1
21975579,1,29,6,111.772152777761,0,18,1,"41-65",1,2,6,"primary",2,"<10k",1,17,1,1,2,997,20,2,14.5348837209302,"2",0.897153128302617,1
22119973,0,323,6,321.508333333302,0,12,1,"21-40",0,1,1,"postsec",1,"<10k",1,9,1,1,4,1,9001,9,15.3374233128834,"4",0.223066323339638,1
22148144,0,36,6,35.6365972221829,0,15,2,"41-65",0,1,1,"postsec",1,">=40k",1,18,1,1,5,997,10,12,12.2399020807834,">=5",0.229531077973024,1
22301029,1,349,4,368.740601851838,0,17,1,"41-65",0,999,6,"secondary",1,"20-39k",1,13,1,1,2,999,9001,6,14.5348837209302,"2",0.609063890233191,1
22430958,0,356,4,355.824675925891,0,19,2,"41-65",0,1,1,"secondary",999,"unknown",1,13,1,1,4,997,10,1,10.6837606837607,"4",0.432178760797715,1
22804641,1,352,7,371.432199074072,0,10,2,"0-10",1,1,4,"primary",999,"unknown",1,15,1,1,3,1,9001,4,23.5294117647059,"3",0.261410369802102,1
22886585,0,375,2,370.700636574067,0,16,1,"11-19",0,999,999,"primary",999,"unknown",1,2,1,1,4,1,9001,3,27.9329608938547,"4",0.289970501207966,1
22985548,1,349,4,368.729131944478,0,17,1,"11-19",1,1,4,"primary",2,"20-39k",1,16,1,1,4,999,9001,19,27.9329608938547,"4",0.51095968885958,1
23007476,0,86,7,84.7115277778357,0,17,1,"41-65",0,1,3,"postsec",2,"20-39k",1,13,1,1,5,1,9001,9,12.3762376237624,">=5",0.398459954309361,1
23117844,0,366,7,366.915381944389,1,21,2,"11-19",1,999,999,"primary",999,"unknown",1,18,1,1,4,1,9001,5,20.0400801603206,"4",0.199162028374115,1
