"participant_code","mode_survey","pred_ps","inv_ps_paper","inv_ps_online","IPTW","PT"
10105130,1,0.164062852294895,6.09522500683184,1.196262186392,6.09522500683184,0.164062852294895
10358113,0,0.0917228196109279,10.9024123357941,1.10098549384631,1.10098549384631,0.908277180389072
10400394,0,0.131230273219321,7.62019292856864,1.15105299963157,1.15105299963157,0.868769726780679
10495813,0,0.361487557429328,2.76634694458468,1.56614019293652,1.56614019293652,0.638512442570672
10532697,0,0.183047322127033,5.46306817482972,1.22406110792564,1.22406110792564,0.816952677872967
10605717,0,0.137031223853126,7.29760686565732,1.15879047729278,1.15879047729278,0.862968776146874
10667596,0,0.131230273219321,7.62019292856864,1.15105299963157,1.15105299963157,0.868769726780679
10739775,0,0.096124608283282,10.4031633299662,1.10634719029214,1.10634719029214,0.903875391716718
10822794,1,0.990599233570755,1.00948997951004,106.374305491638,1.00948997951004,0.990599233570755
10946094,0,0.0783064002930006,12.770348225155,1.08495925361519,1.08495925361519,0.921693599706999
10977706,1,0.174574668854856,5.72820791561355,1.21149662152076,5.72820791561355,0.174574668854856
11006409,0,0.263867618145952,3.78977915905874,1.35845131208787,1.35845131208787,0.736132381854048
11037821,1,0.46679274763134,2.14227835602487,1.87544335820211,2.14227835602487,0.46679274763134
11164072,1,0.303326973434611,3.29677241913856,1.43539359479729,3.29677241913856,0.303326973434611
11170632,0,0.331081121027013,3.02040779884399,1.49494958422362,1.49494958422362,0.668918878972987
11249443,0,0.164554847233258,6.07700117507015,1.19696666703769,1.19696666703769,0.835445152766741
11256889,0,0.361487557429328,2.76634694458468,1.56614019293652,1.56614019293652,0.638512442570672
11294271,0,0.231223772686311,4.32481482497323,1.3007686300268,1.3007686300268,0.768776227313689
11319336,1,0.322195609033903,3.10370461906194,1.47535190584214,3.10370461906194,0.322195609033903
11344005,0,0.0736358440631378,13.5803427355646,1.07948909032287,1.07948909032287,0.926364155936862
11417589,0,0.590591842222125,1.69321675056916,2.44255025456173,2.44255025456173,0.409408157777875
11625385,0,0.0499296390771178,20.0281840302404,1.05255362247973,1.05255362247973,0.950070360922882
11658139,0,0.137031223853126,7.29760686565732,1.15879047729278,1.15879047729278,0.862968776146874
11724464,1,0.733549670157321,1.36323420305749,3.75304470664545,1.36323420305749,0.733549670157321
11772427,0,0.278357485159213,3.59250263892859,1.3857276690809,1.3857276690809,0.721642514840787
11776171,0,0.214576166534224,4.66034982426859,1.27319793134795,1.27319793134795,0.785423833465776
11837502,1,0.99594274889949,1.00407377944665,246.47229743168,1.00407377944665,0.99594274889949
11841028,1,0.119025695642782,8.40154720037244,1.13510688683437,8.40154720037244,0.119025695642782
11857415,0,0.0483498956325793,20.6825679128494,1.05080637874224,1.05080637874224,0.951650104367421
11870454,1,0.724107325092632,1.38101074985269,3.62459786341103,1.38101074985269,0.724107325092632
12026009,0,0.115911451013005,8.62727531456576,1.13110841798123,1.13110841798123,0.884088548986995
12037142,1,0.892068023181405,1.12099074735767,9.26509482616752,1.12099074735767,0.892068023181405
12066136,0,0.0979331307840751,10.2110490290035,1.10856526730574,1.10856526730574,0.902066869215925
12180851,0,0.240200561678742,4.16318760044141,1.31613679816539,1.31613679816539,0.759799438321259
12265942,0,0.392276591610762,2.5492217006725,1.64548540700528,1.64548540700528,0.607723408389238
12394988,1,0.702851368800224,1.42277591591948,3.36531922076293,1.42277591591948,0.702851368800224
12464494,0,0.0563743224501646,17.7385723949766,1.05974225139416,1.05974225139416,0.943625677549835
12628787,0,0.0374215261013271,26.7225873496521,1.03887633799846,1.03887633799846,0.962578473898673
12628960,1,0.86219020737585,1.15983687989636,7.25637838181289,1.15983687989636,0.86219020737585
12689003,1,0.674799545047191,1.48192156817484,3.07502644836433,1.48192156817484,0.674799545047191
12751877,1,0.989724069730841,1.01038262136229,97.3147903700088,1.01038262136229,0.989724069730841
12808049,0,0.322195609033903,3.10370461906194,1.47535190584214,1.47535190584214,0.677804390966097
12818986,1,0.882251990229022,1.13346301405386,8.4927125472865,1.13346301405386,0.882251990229022
12935940,0,0.456454228829073,2.19080016536437,1.83977146551202,1.83977146551202,0.543545771170927
12963872,0,0.161005258196663,6.21097727614916,1.19190258314444,1.19190258314444,0.838994741803337
13019341,1,0.488696956174152,2.04625788510874,1.95578730084894,2.04625788510874,0.488696956174152
13167951,0,0.147415370739939,6.78355313276073,1.17290409148928,1.17290409148928,0.852584629260061
13229962,1,0.228492957856569,4.37650249434701,1.29616444876739,4.37650249434701,0.228492957856569
13310788,0,0.442173468249547,2.2615558639435,1.79267199224464,1.79267199224464,0.557826531750453
13317389,1,0.990215453561659,1.00988122979009,102.201978017241,1.00988122979009,0.990215453561659
13344417,0,0.120443734166042,8.30263198765835,1.1369369292729,1.1369369292729,0.879556265833958
13346161,1,0.442994646070561,2.25736362475297,1.79531487973216,2.25736362475297,0.442994646070561
13376654,0,0.198550118763685,5.03651171919067,1.24773865891327,1.24773865891327,0.801449881236315
13444125,0,0.0705442725928995,14.1754952350399,1.07589847532566,1.07589847532566,0.9294557274071
13643403,1,0.98575311877882,1.01445278838055,70.1908006724564,1.01445278838055,0.98575311877882
13750943,1,0.925384263199026,1.08063216521862,13.4019985980617,1.08063216521862,0.925384263199026
13775858,0,0.309848172116951,3.22738712049769,1.44895653332886,1.44895653332886,0.690151827883049
