participant_code,age_weights
10105130,20.0400801603206
10358113,12.970168612192
10400394,16.4473684210526
10495813,16.4473684210526
10532697,15.3374233128834
10605717,20.0400801603206
10667596,16.4473684210526
10739775,16.4473684210526
10822794,7.96178343949044
10946094,15.3374233128834
10977706,12.970168612192
11006409,12.2399020807834
11037821,14.5348837209302
11164072,27.9329608938547
11170632,23.5294117647059
11249443,18.9035916824197
11256889,16.4473684210526
11294271,12.9032258064516
11319336,23.5294117647059
11344005,15.3374233128834
11417589,12.2399020807834
11625385,12.3762376237624
11658139,20.0400801603206
11724464,11.3636363636364
11772427,23.5294117647059
11776171,10.6837606837607
11837502,7.96178343949044
11841028,20.0400801603206
11857415,16.4473684210526
11870454,11.3636363636364
12026009,12.3762376237624
12037142,18.9035916824197
12066136,12.970168612192
12180851,27.9329608938547
12265942,12.2399020807834
12394988,14.5348837209302
12464494,12.970168612192
12628787,12.3762376237624
12628960,14.5348837209302
12689003,23.5294117647059
12751877,7.96178343949044
12808049,23.5294117647059
12818986,12.2399020807834
12935940,15.3374233128834
12963872,16.4473684210526
13019341,10.6837606837607
13167951,12.2399020807834
13229962,11.3636363636364
13310788,11.3636363636364
13317389,7.96178343949044
13344417,16.4473684210526
13346161,27.9329608938547
13376654,20.0400801603206
13444125,12.970168612192
13643403,7.96178343949044
13750943,11.3636363636364
13775858,23.5294117647059
13851014,15.3374233128834
13862807,16.4473684210526
13884579,7.96178343949044
13949447,20.0400801603206
14017158,11.3636363636364
14055983,23.5294117647059
14066034,7.96178343949044
14182942,10.6837606837607
14184688,27.9329608938547
14400868,14.5348837209302
14558526,23.5294117647059
14679892,18.9035916824197
14703807,15.3374233128834
14732388,18.9035916824197
14847207,12.3762376237624
14963423,12.970168612192
15172510,12.970168612192
15207770,7.96178343949044
15264221,12.970168612192
15329748,14.5348837209302
15392694,10.6837606837607
15417052,12.9032258064516
15601792,16.4473684210526
15608543,12.970168612192
15751629,16.4473684210526
15806456,10.6837606837607
16030864,27.9329608938547
16037020,16.4473684210526
16192203,7.96178343949044
16291889,12.9032258064516
16305255,10.6837606837607
16387639,16.4473684210526
16420388,18.9035916824197
16541874,12.9032258064516
16682693,14.5348837209302
16688087,16.4473684210526
16870246,18.9035916824197
16993408,18.9035916824197
17003087,7.96178343949044
17004422,12.3762376237624
17175713,20.0400801603206
17257781,12.2399020807834
17426732,12.970168612192
17429347,12.970168612192
17471372,14.5348837209302
17521021,18.9035916824197
17604612,27.9329608938547
17706280,27.9329608938547
17800285,10.6837606837607
17824455,27.9329608938547
17851466,11.3636363636364
17890548,12.3762376237624
17892155,12.9032258064516
17897806,18.9035916824197
17930358,20.0400801603206
17937580,15.3374233128834
17984165,12.970168612192
18343372,12.2399020807834
18380719,12.3762376237624
18382054,10.6837606837607
18520203,7.96178343949044
18546643,14.5348837209302
18555473,18.9035916824197
18636645,14.5348837209302
18723147,12.2399020807834
18918326,15.3374233128834
18994564,12.970168612192
19089426,12.9032258064516
19094963,12.2399020807834
19150944,16.4473684210526
19369265,10.6837606837607
19402654,11.3636363636364
19470267,14.5348837209302
19555774,12.970168612192
19633207,16.4473684210526
19787052,10.6837606837607
19940509,23.5294117647059
19963077,16.4473684210526
19992114,12.9032258064516
20162067,12.9032258064516
20456667,27.9329608938547
20542936,18.9035916824197
20602985,18.9035916824197
20708861,12.9032258064516
20931383,23.5294117647059
21006078,18.9035916824197
21070328,11.3636363636364
21091572,11.3636363636364
21228817,12.9032258064516
21476608,20.0400801603206
21493813,7.96178343949044
21572472,12.2399020807834
21654428,15.3374233128834
21975579,14.5348837209302
22119973,15.3374233128834
22148144,12.2399020807834
22301029,14.5348837209302
22411792,12.970168612192
22430958,10.6837606837607
22804641,23.5294117647059
22886585,27.9329608938547
22985548,27.9329608938547
23007476,12.3762376237624
23117844,20.0400801603206
23221606,27.9329608938547
23440991,27.9329608938547
23499032,12.970168612192
23601144,18.9035916824197
23631969,12.2399020807834
23718206,16.4473684210526
23764485,16.4473684210526
23869239,12.3762376237624
23919020,12.3762376237624
24024370,15.3374233128834
24024711,11.3636363636364
24149384,15.3374233128834
24248656,10.6837606837607
24286762,12.9032258064516
24370596,27.9329608938547
24445376,14.5348837209302
24498627,11.3636363636364
24533540,27.9329608938547
24577058,14.5348837209302
24620397,12.970168612192
24638255,12.970168612192
24730187,10.6837606837607
24760713,11.3636363636364
24809664,15.3374233128834
25074113,20.0400801603206
25169140,12.3762376237624
25281029,14.5348837209302
25300496,23.5294117647059
25328987,12.2399020807834
25419195,12.3762376237624
25593841,12.970168612192
25907403,16.4473684210526
25993392,10.6837606837607
26015614,18.9035916824197
26075094,14.5348837209302
26343036,12.970168612192
26354694,12.970168612192
26616425,27.9329608938547
