participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence,num_usual_contacts,total_hrs_participant,physical_hrs_participant
42897756,2,21,5,23.4581597222714,7,10,2,43,1,1,3,3,1,4,1,2,1,1,1,3.44166666666667,0
42922106,1,32,2,83.6864699074067,4,16,1,67,1,999,6,3,1,5,1,10,1,1,1,17.275,5.23333333333333
42993061,2,344,6,342.740312500042,4,17,1,46,1,1,1,2,1,7,1,2,1,1,4,0.0416666666666667,0.0416666666666667
43152321,2,339,1,339.575648148195,1,13,2,48,2,999,999,3,1,1,1,5,1,1,1,8,8
43187386,2,334,3,330.84158564813,6,20,2,18,2,1,1,3,999,999,1,18,1,1,1,4,0
43193386,1,317,7,351.694166666712,6,16,1,77,1,999,6,2,999,1,997,16,1,1,0,0.4,0
43217961,2,328,4,334.557256944478,3,13,1,65,1,1,1,3,1,7,2,13,1,1,2,6.99166666666667,4
43269432,1,32,2,82.7832870370476,3,18,1,20,1,999,999,2,2,3,1,13,1,1,3,10.6916666666667,9.63333333333333
43326784,2,331,7,332.427442129585,1,10,2,13,2,999,999,1,999,999,1,5,1,1,3,3.11666666666667,3.11666666666667
43335279,2,339,1,337.540798611124,6,12,1,16,2,999,999,999,999,999,1,999,1,999,4,2.7,0.0416666666666667
43404638,2,351,6,353.449351851828,1,10,1,43,1,1,1,3,1,7,1,2,1,1,3,15.4333333333333,0
43803510,1,35,5,83.6223263888387,4,14,2,33,2,999,5,1,999,999,2,7,1,1,3,6.5,6.5
43844651,1,145,3,253.571076388936,6,13,1,12,1,1,4,1,2,4,1,9,1,1,3,27.675,15.0583333333333
43862142,1,320,3,355.501979166642,3,12,1,17,1,999,4,2,999,999,997,3,999,1,2,12,0
43878748,1,43,6,91.6671875000466,5,16,2,18,2,2,4,3,2,3,1,11,1,1,2,23.3583333333333,10.5
44029573,1,35,5,83.6109606481623,4,14,1,58,1,2,1,2,1,1,1,14,1,1,0,0.0416666666666667,0
44160407,2,180,3,181.643043981516,4,15,2,18,2,1,1,3,1,3,1,18,1,1,3,2.5,2.5
44169120,1,129,1,259.567881944473,5,13,1,47,1,1,1,1,1,2,1,13,1,1,4,24.6666666666667,12
44169606,1,60,2,83.7526388888946,4,18,1,45,2,1,1,3,1,8,1,13,1,1,0,14.3333333333333,0.158333333333333
44211423,1,373,7,391.530879629659,4,12,1,7,2,1,4,1,2,3,1,9,1,1,4,19.5583333333333,5.61666666666667
44255633,2,69,4,67.7939814814599,2,19,2,28,1,999,999,999,2,4,1,18,1,1,2,9,0
44463645,2,238,5,237.971122685238,4,23,2,13,2,2,1,3,999,999,1,13,1,1,2,10.5,10.5
44598621,1,25,2,29.7219444444636,6,17,1,50,2,1,1,1,1,2,2,12,1,1,3,5.71666666666667,5.01666666666667
44623572,2,374,1,375.722812499967,2,17,2,33,1,1,1,2,1,3,1,14,1,1,1,12,0
44687895,2,339,1,336.946909722174,5,22,1,20,1,2,1,3,1,1,1,10,1,1,2,2.5,0
44779421,2,328,4,329.820486111101,5,19,2,23,1,1,1,3,1,5,2,9,1,1,4,11.6583333333333,11.5
44867745,2,86,7,85.7996990741231,6,19,1,42,1,1,1,3,2,7,2,14,1,1,3,12.275,0
44892039,2,21,5,22.9262615740299,6,22,2,18,1,1,1,3,999,999,1,2,1,1,2,33,2.5
44927185,2,334,3,334.908761574072,3,21,1,6,1,1,4,1,999,999,1,9,1,1,3,2.5,0
45067009,2,351,6,353.501863425947,1,12,1,57,1,999,999,2,1,5,1,1,1,1,2,1.23333333333333,0.616666666666667
45244375,1,43,6,83.7832638889086,4,18,2,43,1,999,999,999,2,3,2,6,999,1,3,0.658333333333333,0.616666666666667
45293310,1,320,3,355.477384259226,3,11,1,24,2,1,1,2,1,3,1,3,1,1,2,10.5,4
45357188,1,22,6,28.7990509258816,5,19,1,49,2,2,1,2,2,2,2,12,1,1,2,24.0416666666667,0
45580481,2,85,6,84.7737731481902,5,18,1,18,2,999,999,2,999,999,2,2,1,1,3,12,12
45582659,1,359,7,369.551412036992,3,13,1,22,2,2,1,3,1,1,1,18,1,1,3,10.6583333333333,6.5
45685244,2,352,7,377.795185185154,4,19,1,36,2,1,5,2,2,4,1,18,1,1,3,0.441666666666667,0.2
