participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence,diary_first_acccess,diary_last_access,diary_time_elasped
12751877,1,109,2,118.444351851824,4,10,1,68,2,999,6,2,1,2,2,14,1,1,2842.61666666667,2842.65,0.033333333333303
12808049,2,375,2,371.761574074044,5,18,1,0,1,999,1,1,999,8,1,6,1,1,8922.21666666667,8922.26666666667,0.0499999999992724
12818986,1,373,7,391.518101851805,4,12,2,43,1,1,999,1,1,3,1,17,999,1,9396.36666666667,9396.41666666667,0.0499999999992724
12935940,2,350,5,349.151666666614,4,3,2,23,1,1,1,2,1,3,2,10,1,1,8379.58333333333,8379.6,0.0166666666664241
12963872,2,331,7,329.727928240784,5,17,1,18,2,1,4,3,1,1,2,6,1,1,7913.36666666667,7913.46666666667,0.0999999999994543
13019341,1,25,2,28.7455902778311,5,17,2,48,2,1,5,2,2,8,1,5,1,1,689.8,689.883333333333,0.0833333333333712
13167951,2,219,7,223.718055555597,4,17,2,43,1,1,1,3,999,999,1,5,1,1,5369.21666666667,5369.23333333333,0.0166666666673336
13229962,1,336,5,364.568981481483,5,13,2,53,1,1,1,3,1,10,1,17,1,1,8749.26666666667,8749.46666666667,0.200000000000728
13310788,2,27,4,27.8146412037313,4,19,1,52,2,1,1,3,1,3,1,7,1,1,667.55,667.55,0
13317389,1,333,2,368.693993055611,2,16,1,70,1,999,6,2,2,2,2,14,1,1,8848.58333333333,8848.63333333333,0.0499999999992724
13344417,2,323,6,325.591805555508,1,14,2,18,1,1,1,3,1,3,1,17,1,1,7814.16666666667,7814.18333333333,0.0166666666664241
13346161,1,359,7,400.493333333288,6,11,1,10,1,999,4,999,2,4,1,7,1,1,9611.76666666667,9611.83333333333,0.0666666666675155
13376654,2,395,1,394.527372685145,7,12,2,13,1,1,4,1,999,999,1,14,1,1,9468.6,9468.63333333333,0.0333333333328483
13444125,2,251,4,251.834050925914,4,20,1,33,2,1,1,3,1,8,1,18,1,1,6043.86666666667,6043.98333333333,0.116666666666788
13643403,1,320,3,337.777326388867,6,18,1,80,1,999,999,999,999,999,2,17,1,1,8106.53333333333,8106.63333333333,0.0999999999994543
13750943,1,206,1,259.771342592547,5,18,2,53,2,999,6,999,1,4,1,3,1,1,6234.45,6234.5,0.0500000000001819
13775858,2,366,7,364.488587962929,5,11,1,5,2,999,999,999,999,999,1,16,1,1,8747.65,8747.66666666667,0.0166666666664241
13851014,1,32,2,83.4342708333861,4,10,1,25,1,1,1,2,1,2,2,7,1,1,2002.28333333333,2002.41666666667,0.133333333333439
13862807,2,85,6,84.7042013888713,5,16,1,18,2,999,999,2,999,999,1,17,1,1,2032.88333333333,2032.88333333333,0
13884579,1,102,2,124.555821759277,3,13,1,82,1,999,6,999,999,1,2,7,1,1,2989.28333333333,2989.33333333333,0.0500000000001819
13949447,2,314,4,312.768865740742,2,18,1,15,1,999,999,1,2,998,1,7,1,1,7506.38333333333,7506.4,0.0166666666664241
14017158,1,355,3,369.537916666712,3,12,1,53,1,1,2,3,1,3,1,8,1,1,8868.6,8868.9,0.299999999999272
14055983,2,365,6,368.733368055546,2,17,1,6,1,1,4,1,1,1,1,17,1,1,8849.31666666667,8849.6,0.283333333332848
14066034,1,25,2,28.6976967592491,5,16,1,67,2,999,999,2,2,4,2,14,1,1,686.316666666667,688.733333333333,2.41666666666663
14182942,2,356,4,358.720173611073,6,17,2,48,1,1,1,3,1,7,1,17,1,1,8608.8,8609.25,0.450000000000728
14184688,2,351,6,350.913541666698,5,21,2,8,1,999,999,1,999,999,1,13,1,1,8421.9,8421.9,0
14400868,1,333,2,354.588958333363,2,14,1,60,1,1,1,2,2,2,2,2,1,1,8509.28333333333,8509.35,0.0666666666675155
14558526,2,141,6,141.677986111143,6,16,1,6,2,999,999,1,2,4,1,1,1,1,3400.23333333333,3400.23333333333,0
14679892,1,331,7,413.429976851796,5,10,1,63,1,999,6,3,2,999,1,14,1,1,9922.28333333333,9922.31666666667,0.0333333333346673
14703807,2,91,5,116.785312499967,2,18,2,23,1,1,1,3,999,999,1,11,1,1,2802.76666666667,2802.83333333333,0.066666666666606
14732388,1,35,5,83.4398842592491,4,10,1,65,2,999,6,3,1,3,1,2,1,1,2002.48333333333,2002.55,0.066666666666606
14847207,2,318,1,327.740208333358,3,17,2,38,2,1,5,2,999,999,1,16,1,1,7865.61666666667,7865.7,0.0833333333330302
14963423,2,356,4,359.499166666646,7,11,2,33,2,1,1,2,1,4,1,3,1,1,8627.4,8627.93333333333,0.533333333332848
15172510,2,85,6,85.8884490741184,6,21,2,33,1,1,1,3,2,9,1,13,1,1,2061.28333333333,2061.3,0.0166666666668789
15207770,1,32,2,83.6319675926352,4,15,1,68,2,999,999,1,2,999,2,2,1,1,2007.1,2007.15,0.0500000000001819
15264221,2,370,4,372.58869212959,6,14,2,33,2,999,999,3,999,999,1,14,1,1,8942.05,8942.11666666667,0.0666666666675155
15329748,2,334,3,340.023067129659,2,0,1,58,2,999,999,2,999,999,997,16,1,1,8160.15,8160.33333333333,0.183333333333394
15392694,1,86,7,111.767951388843,4,18,1,51,2,1,1,2,2,4,1,5,1,1,2681.78333333333,2682.41666666667,0.633333333333212
15417052,2,339,1,339.801076388918,1,19,1,27,1,1,1,3,999,999,999,7,1,1,8155.21666666667,8155.21666666667,0
15601792,2,127,6,127.598946759244,6,14,2,18,1,999,999,2,999,999,1,5,1,1,3062.36666666667,3062.36666666667,0
15608543,2,350,5,350.893761574058,5,21,1,32,2,1,1,3,1,4,1,17,1,1,8421.33333333333,8421.41666666667,0.0833333333321207
15751629,2,314,4,315.177928240737,5,4,1,20,2,1,4,3,1,1,1,2,1,1,7530.05,7564.25,34.1999999999998
15806456,1,320,3,355.49145833333,3,11,2,48,2,999,5,2,999,999,2,5,1,1,8531.63333333333,8531.78333333333,0.149999999999636
16030864,1,60,2,83.7744907407323,4,18,1,10,1,999,4,1,999,6,1,9,1,1,2010.55,2010.58333333333,0.033333333333303
16037020,2,334,3,334.909861111082,3,21,2,18,2,1,1,3,999,999,1,17,1,1,8037.71666666667,8037.81666666667,0.100000000000364
16192203,1,317,7,354.523020833381,2,12,1,75,2,999,6,1,1,1,2,17,1,1,8508.51666666667,8508.55,0.0333333333328483
16291889,2,357,5,359.14883101848,7,3,1,30,1,1,1,2,1,5,2,9,1,1,8619.5,8619.53333333333,0.0333333333328483
16305255,2,350,5,349.558368055616,4,13,1,48,1,1,1,2,1,2,1,3,1,1,8389.4,8389.4,0
16387639,2,210,5,210.66512731486,5,15,1,17,1,999,999,1,2,5,1,14,1,1,5055.88333333333,5055.95,0.066666666666606
16420388,1,213,1,260.538344907458,6,12,1,65,1,999,6,2,999,8,2,14,1,1,6252.85,6252.9,0.0499999999992724
16541874,2,356,4,361.432002314832,2,10,2,28,1,1,1,3,1,4,1,6,1,1,8674.28333333333,8674.36666666667,0.0833333333339397
16682693,2,351,6,351.372141203727,6,8,2,58,1,2,6,3,1,1,1,16,1,1,8432.91666666667,8432.91666666667,0
16688087,2,340,2,338.786921296269,7,18,1,20,1,1,4,2,1,1,1,5,1,1,8130.85,8130.86666666667,0.0166666666664241
16870246,2,115,1,115.817500000005,1,19,2,63,1,999,999,3,2,998,2,2,1,1,2779.5,2779.61666666667,0.116666666666788
16993408,1,352,7,406.7552893518,5,18,1,65,1,999,6,1,1,1,1,12,1,1,9762.03333333333,9762.11666666667,0.0833333333339397
17003087,1,234,1,265.470173611073,4,11,1,75,2,999,6,1,999,998,1,5,1,1,6371.23333333333,6371.26666666667,0.0333333333328483
17004422,1,145,3,173.455601851805,3,10,1,39,1,1,1,3,1,5,1,2,1,1,4162.65,4162.91666666667,0.266666666667334
17175713,2,375,2,370.834895833279,4,20,1,14,1,1,4,2,2,11,1,17,1,1,8899.85,8900.03333333333,0.183333333332484
17257781,2,42,5,41.6755092592211,4,16,1,42,1,1,1,3,1,11,1,8,1,1,1000.03333333333,1000.16666666667,0.133333333333326
17426732,2,323,6,323.470034722239,6,11,1,36,2,1,1,3,1,6,1,14,1,1,7763.16666666667,7763.26666666667,0.0999999999994543
17429347,2,91,5,91.781134259305,5,18,1,33,1,999,999,3,2,6,1,11,1,1,2202.63333333333,2202.71666666667,0.0833333333334849
17471372,2,331,7,330.856273148092,6,20,2,58,2,999,999,2,999,999,2,17,1,1,7940.16666666667,7940.55,0.383333333333212
17521021,1,216,4,264.715057870373,3,17,2,63,2,999,6,2,999,999,999,13,1,1,6353.06666666667,6353.15,0.0833333333330302
17604612,2,375,2,387.582418981474,7,13,1,7,1,1,4,1,999,999,1,13,1,1,9301.88333333333,9301.95,0.0666666666675155
17706280,1,349,4,369.54850694444,3,13,1,10,2,1,4,1,2,7,1,10,997,1,8869.05,8869.15,0.100000000000364
17800285,1,336,5,348.706458333298,3,16,2,48,2,999,5,2,1,1,1,10,1,1,8368.85,8368.95,0.100000000000364
17824455,2,374,1,381.447025462985,1,10,2,8,1,999,999,1,999,999,1,2,1,1,9154.66666666667,9154.68333333333,0.0166666666664241
17851466,2,351,6,351.930648148176,6,22,2,53,1,1,1,3,1,8,1,14,1,1,8446.18333333333,8446.31666666667,0.133333333335031
17890548,1,145,3,259.5026967593,5,12,1,38,1,999,6,2,1,1,1,16,1,1,6228,6228.05,0.0500000000001819
17892155,2,27,4,41.4300231481902,4,10,2,28,1,1,1,3,1,7,1,1,1,1,994.3,994.3,0
17897806,1,320,3,355.497569444473,3,11,1,62,1,999,6,2,1,3,1,12,1,1,8531.91666666667,8531.93333333333,0.0166666666664241
17930358,2,374,1,374.571666666656,1,13,2,13,1,1,4,2,1,1,1,1,1,1,8989.7,8989.7,0
17937580,2,331,7,336.322604166693,5,7,2,23,1,1,1,3,1,8,1,12,1,1,8071.6,8071.73333333333,0.133333333333212
17984165,2,379,6,384.880937500042,4,21,2,33,1,999,999,3,999,999,1,13,1,1,9236.96666666667,9237.13333333333,0.16666666666606
18343372,1,98,5,259.549780092551,5,13,1,46,2,999,5,1,2,4,1,10,1,1,6228.96666666667,6229.18333333333,0.216666666667152
18380719,2,370,4,375.614201388904,2,14,2,38,2,1,1,3,1,5,1,18,1,1,9014.63333333333,9014.73333333333,0.100000000000364
18382054,2,353,1,352.602881944389,7,14,2,48,1,1,3,2,999,999,1,2,1,1,8462.43333333333,8462.45,0.0166666666682431
18520203,1,145,3,166.745451388881,3,17,1,67,1,999,6,2,2,3,2,13,1,1,4001.78333333333,4001.88333333333,0.0999999999999091
18546643,2,340,2,338.617858796264,7,14,1,61,2,999,999,1,999,999,1,7,1,1,8126.61666666667,8126.78333333333,0.16666666666697
18555473,2,352,7,355.574826388853,3,13,2,63,1,2,6,2,2,1,1,17,1,1,8533.7,8533.76666666667,0.0666666666656965
18636645,2,356,4,358.972685185145,6,23,1,60,1,1,1,3,999,999,1,999,1,1,8615.21666666667,8615.28333333333,0.0666666666656965
18723147,2,213,1,236.719004629646,3,17,2,43,1,1,1,3,2,8,1,18,1,1,5681.2,5681.25,0.0500000000001819
18918326,2,21,5,21.3406597222202,5,8,1,22,2,2,4,3,999,999,1,6,1,1,512.1,512.133333333333,0.033333333333303
18994564,2,328,4,334.902453703689,3,21,2,33,2,1,1,3,2,8,1,10,1,1,8037.65,8037.65,0
19089426,2,353,1,353.829293981427,1,19,1,31,2,1,1,3,1,7,2,8,997,2,8491.88333333333,8491.88333333333,0
19094963,1,23,7,28.7398495370289,5,17,1,45,1,1,1,2,2,6,1,14,1,1,689.583333333333,689.75,0.166666666666629
19150944,2,328,4,329.754641203675,5,18,1,20,2,1,4,3,1,1,1,7,1,1,7913.98333333333,7914.05,0.066666666666606
19369265,2,180,3,180.518761574058,3,12,2,48,2,999,999,2,999,999,1,15,4,1,4332.35,4332.35,0
19402654,2,350,5,349.824918981525,4,19,2,53,2,999,999,1,999,999,1,17,1,1,8395.75,8395.78333333333,0.0333333333328483
19470267,1,145,3,166.695497685228,3,16,1,58,2,999,5,1,2,7,1,17,1,1,4000.43333333333,4000.68333333333,0.25
19555774,1,373,7,400.518530092551,6,12,2,33,2,1,1,3,1,7,1,14,1,1,9612.4,9612.43333333333,0.0333333333328483
19633207,1,317,7,354.730960648158,2,17,1,21,2,2,4,3,1,2,1,10,1,1,8513.48333333333,8513.53333333333,0.0499999999992724
19787052,2,328,4,326.744456018554,2,17,2,48,1,999,999,3,999,999,997,17,1,1,7841.83333333333,7841.83333333333,0
19940509,1,352,7,369.522060185205,3,12,1,2,2,999,999,1,2,5,1,13,1,1,8868.5,8868.51666666667,0.0166666666664241
19963077,2,42,5,52.7279629629338,1,17,2,18,2,1,1,3,1,3,1,9,1,1,1265.25,1265.45,0.200000000000045
19992114,2,331,7,331.957442129613,7,22,1,27,1,1,1,3,1,5,1,17,1,1,7966.81666666667,7966.96666666667,0.149999999999636
20162067,2,16,7,14.9419907407137,5,22,2,28,2,1,1,2,1,4,1,13,1,1,358.516666666667,358.6,0.0833333333333712
20456667,2,332,1,331.002418981516,7,0,2,8,1,999,999,999,2,7,1,13,1,1,7944.03333333333,7944.03333333333,0
20542936,1,336,5,364.515648148139,5,12,1,65,1,999,6,3,1,6,1,2,1,1,8748.3,8748.36666666667,0.0666666666675155
20602985,2,81,2,82.764444444445,3,18,1,64,2,2,6,3,1,6,1,18,1,1,1986.28333333333,1986.33333333333,0.0499999999999545
20708861,2,348,3,350.950243055588,5,22,2,28,1,1,1,3,1,8,1,18,1,1,8422.78333333333,8422.8,0.0166666666664241
20931383,1,397,3,400.513726851903,6,12,1,5,2,999,4,1,999,999,1,16,1,1,9612.23333333333,9612.3,0.0666666666656965
21006078,1,333,2,354.549884259235,2,13,1,66,1,999,6,3,2,5,2,10,1,1,8509.16666666667,8509.18333333333,0.0166666666664241
21070328,2,85,6,85.571956018568,6,13,1,56,2,1,3,3,1,4,1,3,1,1,2053.48333333333,2053.68333333333,0.200000000000273
21091572,2,331,7,331.79667824076,7,19,2,53,2,999,999,2,1,4,1,17,1,1,7963.08333333333,7963.11666666667,0.0333333333337578
21228817,2,280,5,278.707071759272,3,16,1,27,2,1,1,999,999,999,1,16,1,1,6688.85,6688.93333333333,0.0833333333330302
21476608,2,379,6,385.880185185233,5,21,2,13,2,999,999,2,999,999,1,8,1,1,9261.06666666667,9261.1,0.0333333333328483
21493813,1,81,2,91.7194097222527,5,17,1,75,1,999,6,2,999,999,1,5,1,1,2201.25,2201.25,0
21572472,2,204,6,204.882141203736,6,21,2,43,2,999,999,2,2,9,1,13,1,1,4916.96666666667,4917.11666666667,0.150000000000546
21654428,2,323,6,321.629502314841,4,15,1,24,2,1,4,2,1,1,2,14,1,1,7718.95,7719.08333333333,0.133333333333212
21975579,1,29,6,111.772152777761,4,18,1,59,2,2,6,1,2,1,1,17,1,1,2682.51666666667,2682.51666666667,0
22119973,2,323,6,321.508333333302,4,12,1,25,1,1,1,3,1,2,1,9,1,1,7716.08333333333,7716.18333333333,0.100000000000364
22148144,2,36,6,35.6365972221829,5,15,2,43,1,1,1,3,1,8,1,18,1,1,855.1,855.25,0.149999999999977
22301029,1,349,4,368.740601851838,2,17,1,60,1,999,6,2,1,5,1,13,1,1,8849.71666666667,8849.76666666667,0.0499999999992724
22411792,2,366,7,367.408969907439,1,9,1,36,1,2,1,3,2,8,1,17,1,1,8817.8,8817.8,0
22430958,2,356,4,355.824675925891,3,19,2,48,1,1,1,2,999,999,1,13,1,1,8539.78333333333,8539.78333333333,0
22804641,1,352,7,371.432199074072,5,10,2,3,2,1,4,1,999,999,1,15,1,1,8914.35,8914.36666666667,0.0166666666664241
22886585,2,375,2,370.700636574067,4,16,1,11,1,999,999,1,999,999,1,2,1,1,8896.78333333333,8896.8,0.0166666666664241
22985548,1,349,4,368.729131944478,2,17,1,11,2,1,4,1,2,7,1,16,1,1,8849.36666666667,8849.48333333333,0.116666666666788
23007476,2,86,7,84.7115277778357,5,17,1,41,1,1,3,3,2,6,1,13,1,1,2032.76666666667,2033.01666666667,0.25
23117844,2,366,7,366.915381944389,7,21,2,13,2,999,999,1,999,999,1,18,1,1,8805.88333333333,8805.93333333333,0.0499999999992724
23221606,2,352,7,352.744004629669,7,17,1,9,1,999,999,1,999,999,1,4,1,1,8465.75,8465.85,0.100000000000364
23440991,2,389,2,389.923645833274,2,22,2,8,2,1,4,1,999,999,1,6,1,1,9357.95,9358.13333333333,0.183333333332484
23499032,1,373,7,391.513252314762,4,12,1,32,1,1,1,3,1,5,2,9,1,1,9396.01666666667,9396.3,0.283333333332848
