participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence
15608543,2,350,5,350.893761574058,5,21,1,32,2,1,1,3,1,4,1,17,1,1
15751629,2,314,4,315.177928240737,5,4,1,20,2,1,4,3,1,1,1,2,1,1
15806456,1,320,3,355.49145833333,3,11,2,48,2,999,5,2,999,999,2,5,1,1
16030864,1,60,2,83.7744907407323,4,18,1,10,1,999,4,1,999,6,1,9,1,1
16037020,2,334,3,334.909861111082,3,21,2,18,2,1,1,3,999,999,1,17,1,1
16192203,1,317,7,354.523020833381,2,12,1,75,2,999,6,1,1,1,2,17,1,1
16291889,2,357,5,359.14883101848,7,3,1,30,1,1,1,2,1,5,2,9,1,1
16305255,2,350,5,349.558368055616,4,13,1,48,1,1,1,2,1,2,1,3,1,1
16387639,2,210,5,210.66512731486,5,15,1,17,1,999,999,1,2,5,1,14,1,1
16420388,1,213,1,260.538344907458,6,12,1,65,1,999,6,2,999,8,2,14,1,1
16541874,2,356,4,361.432002314832,2,10,2,28,1,1,1,3,1,4,1,6,1,1
16682693,2,351,6,351.372141203727,6,8,2,58,1,2,6,3,1,1,1,16,1,1
16688087,2,340,2,338.786921296269,7,18,1,20,1,1,4,2,1,1,1,5,1,1
16870246,2,115,1,115.817500000005,1,19,2,63,1,999,999,3,2,998,2,2,1,1
16993408,1,352,7,406.7552893518,5,18,1,65,1,999,6,1,1,1,1,12,1,1
17003087,1,234,1,265.470173611073,4,11,1,75,2,999,6,1,999,998,1,5,1,1
17004422,1,145,3,173.455601851805,3,10,1,39,1,1,1,3,1,5,1,2,1,1
17175713,2,375,2,370.834895833279,4,20,1,14,1,1,4,2,2,11,1,17,1,1
17257781,2,42,5,41.6755092592211,4,16,1,42,1,1,1,3,1,11,1,8,1,1
17426732,2,323,6,323.470034722239,6,11,1,36,2,1,1,3,1,6,1,14,1,1
17429347,2,91,5,91.781134259305,5,18,1,33,1,999,999,3,2,6,1,11,1,1
17471372,2,331,7,330.856273148092,6,20,2,58,2,999,999,2,999,999,2,17,1,1
17521021,1,216,4,264.715057870373,3,17,2,63,2,999,6,2,999,999,999,13,1,1
17604612,2,375,2,387.582418981474,7,13,1,7,1,1,4,1,999,999,1,13,1,1
17706280,1,349,4,369.54850694444,3,13,1,10,2,1,4,1,2,7,1,10,997,1
17800285,1,336,5,348.706458333298,3,16,2,48,2,999,5,2,1,1,1,10,1,1
17824455,2,374,1,381.447025462985,1,10,2,8,1,999,999,1,999,999,1,2,1,1
17851466,2,351,6,351.930648148176,6,22,2,53,1,1,1,3,1,8,1,14,1,1
17890548,1,145,3,259.5026967593,5,12,1,38,1,999,6,2,1,1,1,16,1,1
17892155,2,27,4,41.4300231481902,4,10,2,28,1,1,1,3,1,7,1,1,1,1
17897806,1,320,3,355.497569444473,3,11,1,62,1,999,6,2,1,3,1,12,1,1
17930358,2,374,1,374.571666666656,1,13,2,13,1,1,4,2,1,1,1,1,1,1
17937580,2,331,7,336.322604166693,5,7,2,23,1,1,1,3,1,8,1,12,1,1
17984165,2,379,6,384.880937500042,4,21,2,33,1,999,999,3,999,999,1,13,1,1
18343372,1,98,5,259.549780092551,5,13,1,46,2,999,5,1,2,4,1,10,1,1
18380719,2,370,4,375.614201388904,2,14,2,38,2,1,1,3,1,5,1,18,1,1
18382054,2,353,1,352.602881944389,7,14,2,48,1,1,3,2,999,999,1,2,1,1
18520203,1,145,3,166.745451388881,3,17,1,67,1,999,6,2,2,3,2,13,1,1
18546643,2,340,2,338.617858796264,7,14,1,61,2,999,999,1,999,999,1,7,1,1
18555473,2,352,7,355.574826388853,3,13,2,63,1,2,6,2,2,1,1,17,1,1
18636645,2,356,4,358.972685185145,6,23,1,60,1,1,1,3,999,999,1,999,1,1
18723147,2,213,1,236.719004629646,3,17,2,43,1,1,1,3,2,8,1,18,1,1
18918326,2,21,5,21.3406597222202,5,8,1,22,2,2,4,3,999,999,1,6,1,1
18994564,2,328,4,334.902453703689,3,21,2,33,2,1,1,3,2,8,1,10,1,1
19089426,2,353,1,353.829293981427,1,19,1,31,2,1,1,3,1,7,2,8,997,2
19094963,1,23,7,28.7398495370289,5,17,1,45,1,1,1,2,2,6,1,14,1,1
19150944,2,328,4,329.754641203675,5,18,1,20,2,1,4,3,1,1,1,7,1,1
19369265,2,180,3,180.518761574058,3,12,2,48,2,999,999,2,999,999,1,15,4,1
19402654,2,350,5,349.824918981525,4,19,2,53,2,999,999,1,999,999,1,17,1,1
