participant_code,residence_type,num_usual_contacts,usual_contact_idx,usual_age_or_range,usual_age_or_mid_range,usual_gender,usual_relation
36326162,1,4,1,2,54,1,2
36326162,1,4,2,2,54,2,2
36326162,1,4,3,1,25,1,4
36326162,1,4,4,1,24,2,9
54378468,1,2,1,2,53,1,2
54378468,1,2,2,2,48,2,2
47344771,1,1,1,2,48,2,1
49051874,1,3,1,2,48,1,2
49051874,1,3,2,2,43,2,2
49051874,1,3,3,2,13,2,4
69129801,1,2,1,1,56,2,1
69129801,1,2,2,1,29,1,3
94169942,1,3,1,1,91,2,2
94169942,1,3,2,1,53,2,1
94169942,1,3,3,2,58,2,4
11417589,3,2,1,2,43,1,1
11417589,3,2,2,1,16,1,3
11319336,1,4,1,1,45,1,2
11319336,1,4,2,1,41,2,2
11319336,1,4,3,1,15,1,4
11319336,1,4,4,1,27,2,997
88413265,1,2,1,2,23,2,4
88413265,1,2,2,2,48,2,2
89788386,1,5,1,1,56,1,1
89788386,1,5,2,1,28,2,3
89788386,1,5,3,1,25,2,3
89788386,1,5,4,1,23,1,3
89788386,1,5,5,1,84,2,2
61983185,1,2,1,1,10,1,4
61983185,1,2,2,1,20,2,4
12628960,1,4,1,1,50,2,1
12628960,1,4,2,1,20,1,3
12628960,1,4,3,1,17,2,3
12628960,1,4,4,1,90,2,2
90311026,1,3,1,1,70,1,1
90311026,1,3,2,1,22,2,3
90311026,1,3,3,1,29,2,3
89202614,999,10,1,1,28,2,3
89202614,999,10,2,1,34,1,3
89202614,999,10,3,1,3,1,6
89202614,999,10,4,1,5,1,6
89202614,999,10,5,1,7,1,6
89202614,999,10,6,1,94,2,5
89202614,999,10,7,1,50,2,4
89202614,999,10,8,1,32,2,4
89202614,999,10,9,1,45,2,4
89202614,999,10,10,1,51,1,4
26075094,1,1,1,1,58,2,1
90714870,1,2,1,2,33,1,1
90714870,1,2,2,1,10,2,3
12394988,1,3,1,1,44,2,1
12394988,1,3,2,1,24,2,3
12394988,1,3,3,1,21,1,3
71872234,999,2,1,1,38,1,3
71872234,999,2,2,1,35,1,3
97782776,1,2,1,1,53,1,1
97782776,1,2,2,1,18,1,3
16387639,1,3,1,2,13,1,4
16387639,1,3,2,2,48,1,2
16387639,1,3,3,2,38,2,2
15601792,1,3,1,2,48,1,2
15601792,1,3,2,2,48,2,2
15601792,1,3,3,2,18,2,4
73335815,1,2,1,1,58,2,1
73335815,1,2,2,1,29,2,3
44169120,1,4,1,1,86,2,2
44169120,1,4,2,1,47,2,1
44169120,1,4,3,1,18,1,3
44169120,1,4,4,1,13,2,3
58408751,1,3,1,2,53,1,2
58408751,1,3,2,2,53,2,2
58408751,1,3,3,2,23,1,4
92606367,1,1,1,1,46,1,3
49924420,1,3,1,2,48,2,2
49924420,1,3,2,2,58,1,2
49924420,1,3,3,2,18,1,4
39360542,1,2,1,1,81,2,2
39360542,1,2,2,1,38,2,999
40362114,1,3,1,2,38,1,1
40362114,1,3,2,2,13,1,3
40362114,1,3,3,2,8,1,3
93954677,1,1,1,1,29,999,997
59400976,1,3,1,1,40,1,2
59400976,1,3,2,1,38,2,2
59400976,1,3,3,1,66,2,5
82315826,1,2,1,2,53,2,2
82315826,1,2,2,2,38,2,4
40254546,1,3,1,1,88,2,2
40254546,1,3,2,1,49,2,3
40254546,1,3,3,1,28,2,3
23718206,1,3,1,2,48,1,2
23718206,1,3,2,2,38,2,2
23718206,1,3,3,1,8,1,4
87898918,1,2,1,1,65,1,1
87898918,1,2,2,1,28,1,3
99454600,1,5,1,2,13,2,4
99454600,1,5,2,2,13,1,4
99454600,1,5,3,2,18,2,4
99454600,1,5,4,2,33,2,2
99454600,1,5,5,2,33,1,2
17004422,1,3,1,1,61,2,2
17004422,1,3,2,1,40,1,4
17004422,1,3,3,1,88,1,5
24024711,1,2,1,1,56,1,1
24024711,1,2,2,1,19,2,3
71985549,1,1,1,1,81,2,1
88683659,1,4,1,2,8,1,3
88683659,1,4,2,2,13,2,3
88683659,1,4,3,2,13,2,3
88683659,1,4,4,2,38,2,1
19470267,1,3,1,1,58,1,1
19470267,1,3,2,1,29,1,3
19470267,1,3,3,1,1.5,2,999
26015614,1,3,1,1,60,2,1
26015614,1,3,2,1,27,2,3
26015614,1,3,3,1,25,1,3
18520203,1,2,1,1,59,2,1
18520203,1,2,2,1,36,1,3
38905939,1,6,1,1,60,2,1
38905939,1,6,2,1,34,1,3
38905939,1,6,3,1,34,2,997
38905939,1,6,4,1,5,1,6
38905939,1,6,5,1,2,1,6
38905939,1,6,6,1,61,2,997
61418435,1,3,1,1,64,2,1
61418435,1,3,2,1,31,1,3
61418435,1,3,3,1,17,1,6
56303770,1,3,1,1,49,2,2
56303770,1,3,2,1,19,2,4
56303770,1,3,3,1,13,1,4
58577813,1,1,1,1,79,1,1
41829570,1,3,1,2,48,2,2
41829570,1,3,2,2,48,1,2
41829570,1,3,3,2,23,2,4
78096234,1,5,1,2,3,2,3
78096234,1,5,2,2,3,2,3
78096234,1,5,3,2,58,1,997
78096234,1,5,4,2,58,1,997
78096234,1,5,5,2,28,1,1
57300101,1,3,1,1,38,1,2
57300101,1,3,2,1,36,2,2
57300101,1,3,3,1,11,2,4
43844651,1,3,1,1,56,1,2
43844651,1,3,2,1,48,2,2
43844651,1,3,3,1,21,2,4
83914388,1,4,1,1,33,2,1
83914388,1,4,2,1,49,2,2
83914388,1,4,3,1,55,1,2
83914388,1,4,4,1,0,2,3
17890548,1,2,1,1,79,1,2
17890548,1,2,2,1,79,999,2
29664099,1,3,1,1,45,2,1
29664099,1,3,2,1,13,2,3
29664099,1,3,3,1,9,2,3
14558526,1,5,1,1,39,2,2
14558526,1,5,2,1,41,1,2
14558526,1,5,3,1,16,1,4
14558526,1,5,4,1,71,2,5
14558526,1,5,5,1,78,1,5
19369265,1,5,1,2,43,1,1
19369265,1,5,2,2,63,2,2
19369265,1,5,3,2,23,2,997
19369265,1,5,4,2,23,2,997
19369265,1,5,5,2,13,1,3
88542764,1,5,1,2,63,2,2
88542764,1,5,2,2,48,1,1
88542764,1,5,3,2,13,2,3
88542764,1,5,4,2,8,1,3
88542764,1,5,5,2,23,2,997
83079913,1,2,1,2,53,1,1
83079913,1,2,2,2,43,2,999
66883812,1,2,1,2,63,1,2
66883812,1,2,2,2,63,2,2
44160407,1,3,1,2,53,2,2
44160407,1,3,2,2,18,1,4
44160407,1,3,3,2,43,2,2
99426284,1,2,1,2,43,1,2
99426284,1,2,2,2,43,2,2
36741410,1,1,1,1,31,1,1
12066136,1,1,1,2,33,2,1
56268855,1,3,1,2,27.5,2,3
56268855,1,3,2,2,57.5,2,2
56268855,1,3,3,2,27.5,1,3
71790170,1,2,1,2,33,1,3
71790170,1,2,2,2,18,2,3
56725452,1,2,1,2,28,1,1
56725452,1,2,2,2,48,2,2
65888368,1,1,1,1,38,2,997
27076603,1,2,1,1,40,1,3
27076603,1,2,2,1,15,1,6
78754706,1,2,1,1,59,2,2
78754706,1,2,2,1,22,1,4
21572472,1,3,1,2,13,1,3
21572472,1,3,2,2,18,1,3
21572472,1,3,3,2,53,1,1
70840745,1,2,1,1,88,2,2
70840745,1,2,2,1,43,2,997
13750943,1,1,1,1,60,1,1
84786896,1,1,1,1,70,2,1
94444357,1,5,1,1,7,2,4
94444357,1,5,2,1,48,1,2
94444357,1,5,3,1,46,2,2
94444357,1,5,4,2,63,2,5
94444357,1,5,5,2,38,2,999
29184906,1,3,1,2,33,1,1
29184906,1,3,2,2,3,1,3
29184906,1,3,3,2,3,2,3
51688983,1,4,1,1,44,1,1
51688983,1,4,2,1,17,1,3
51688983,1,4,3,1,13,1,3
51688983,1,4,4,1,11,1,3
63866678,1,1,1,2,48,2,1
95291836,1,3,1,2,53,1,1
95291836,1,3,2,2,23,2,3
95291836,1,3,3,2,18,2,3
55816958,1,1,1,1,68,1,1
90000869,1,2,1,2,23,2,2
90000869,1,2,2,2,28,1,2
61051981,1,3,1,1,3,1,3
61051981,1,3,2,1,40,1,1
61051981,1,3,3,1,31,2,997
51267470,1,3,1,2,70,1,3
51267470,1,3,2,2,70,1,997
51267470,1,3,3,2,63,2,997
28653088,1,3,1,1,32,1,4
28653088,1,3,2,1,56,2,2
28653088,1,3,3,1,79,2,5
16420388,1,4,1,1,58,2,1
16420388,1,4,2,1,30,1,3
16420388,1,4,3,1,28,2,3
16420388,1,4,4,1,90,2,2
79557575,1,1,1,1,28,1,3
28028420,1,4,1,2,13,2,4
28028420,1,4,2,2,23,2,4
28028420,1,4,3,2,48,2,2
28028420,1,4,4,2,48,1,2
69062339,1,1,1,1,86,2,2
18723147,1,7,1,2,8,1,3
18723147,1,7,2,2,13,2,3
18723147,1,7,3,2,13,2,3
18723147,1,7,4,2,13,2,3
18723147,1,7,5,2,43,2,1
18723147,1,7,6,2,23,2,999
18723147,1,7,7,2,23,2,999
62637506,1,2,1,2,53,2,2
62637506,1,2,2,2,63,1,2
17521021,1,3,1,1,40,2,3
17521021,1,3,2,1,3,1,6
17521021,1,3,3,1,45,999,999
87588690,1,3,1,2,53,1,2
87588690,1,3,2,2,43,2,2
87588690,1,3,3,2,13,2,7
80080199,1,4,1,1,61,1,1
80080199,1,4,2,1,31,2,3
80080199,1,4,3,1,24,2,3
80080199,1,4,4,1,19,2,3
46626598,1,7,1,1,79,2,1
46626598,1,7,2,1,19,2,6
46626598,1,7,3,1,50,1,3
46626598,1,7,4,1,48,1,3
46626598,1,7,5,1,23,2,6
46626598,1,7,6,1,15,2,6
46626598,1,7,7,1,16,2,6
34711388,1,4,1,2,48,1,1
34711388,1,4,2,2,13,1,3
34711388,1,4,3,2,8,1,3
34711388,1,4,4,2,23,2,997
55787046,1,3,1,1,18,2,997
55787046,1,3,2,2,38,2,2
55787046,1,3,3,2,48,1,2
69373872,1,3,1,1,12,2,3
69373872,1,3,2,1,40,2,1
69373872,1,3,3,1,33,999,997
76281183,1,4,1,1,65,1,1
76281183,1,4,2,1,33,2,3
76281183,1,4,3,1,34,1,3
76281183,1,4,4,1,2,2,6
82408233,1,4,1,2,38,2,4
82408233,1,4,2,2,58,2,2
82408233,1,4,3,2,63,1,2
82408233,1,4,4,2,28,1,8
34177785,1,3,1,1,38,1,1
34177785,1,3,2,1,43,2,997
34177785,1,3,3,1,1,1,3
39635444,1,3,1,2,28,2,1
39635444,1,3,2,2,3,2,3
39635444,1,3,3,2,28,2,999
79726647,1,3,1,2,35,2,3
79726647,1,3,2,2,32.5,2,999
79726647,1,3,3,1,5,1,6
72078799,1,4,1,2,13,2,997
72078799,1,4,2,2,63,2,2
72078799,1,4,3,2,63,1,997
72078799,1,4,4,2,43,1,4
71960333,1,3,1,2,48,1,2
71960333,1,3,2,2,43,2,2
71960333,1,3,3,2,33,2,997
76052461,1,3,1,2,53,1,2
76052461,1,3,2,2,53,2,2
76052461,1,3,3,2,23,2,4
24809664,1,5,1,1,26,2,4
24809664,1,5,2,1,23,1,4
24809664,1,5,3,1,22,2,4
24809664,1,5,4,1,50,2,2
24809664,1,5,5,1,60,1,2
31489875,1,2,1,2,63,1,1
31489875,1,2,2,2,34.5,2,3
30040475,1,2,1,2,48,1,2
30040475,1,2,2,2,48,2,2
95195460,1,1,1,1,68,2,1
71542602,1,3,1,2,38,2,1
71542602,1,3,2,2,8,1,3
71542602,1,3,3,2,13,2,3
44463645,999,2,1,2,18,2,999
44463645,999,2,2,2,43,2,999
78151694,1,1,1,2,32.5,1,3
13444125,1,3,1,1,32,2,4
13444125,1,3,2,1,64,1,2
13444125,1,3,3,1,64,2,2
42642039,1,1,1,1,80,1,1
72708443,1,1,1,2,48,2,2
21228817,1,3,1,1,1,2,997
21228817,1,3,2,1,2,2,997
21228817,1,3,3,1,4,1,997
89181039,1,2,1,2,48,2,2
89181039,1,2,2,2,18,1,4
70346530,1,2,1,2,63,2,2
70346530,1,2,2,2,23,1,3
75083808,1,2,1,2,58,1,1
75083808,1,2,2,2,23,999,3
16192203,1,2,1,1,37,1,3
16192203,1,2,2,1,38,2,3
51580764,1,2,1,2,33,2,1
51580764,1,2,2,1,1,2,3
72126980,1,1,1,1,38,2,3
31937300,1,3,1,1,21,2,4
31937300,1,3,2,2,38,2,2
31937300,1,3,3,2,43,1,2
35266739,1,1,1,2,48,2,997
19633207,1,3,1,1,57,1,2
19633207,1,3,2,1,47,2,2
19633207,1,3,3,1,15,1,4
71798424,1,1,1,1,65,2,1
78845538,1,2,1,1,56,1,1
78845538,1,2,2,1,23,2,3
80797993,1,1,1,1,77,1,1
93127690,1,3,1,1,82,1,2
93127690,1,3,2,1,65,2,2
93127690,1,3,3,1,35,2,4
85430619,1,3,1,2,33,1,2
85430619,1,3,2,2,28,2,2
85430619,1,3,3,2,23,2,997
11256889,1,3,1,2,48,1,2
11256889,1,3,2,2,43,2,2
11256889,1,3,3,2,18,1,4
68000530,1,2,1,2,48,1,2
68000530,1,2,2,2,53,2,2
76066410,1,4,1,2,48,1,1
76066410,1,4,2,2,18,2,3
76066410,1,4,3,2,13,2,3
76066410,1,4,4,2,33,2,997
82344245,1,7,1,1,58,2,999
82344245,1,7,2,1,30,1,3
82344245,1,7,3,1,25,1,3
82344245,1,7,4,1,39,2,9
82344245,1,7,5,1,60,1,9
82344245,1,7,6,1,65,1,9
82344245,1,7,7,1,62,2,9
12689003,1,4,1,1,75,1,5
12689003,1,4,2,1,70,2,5
12689003,1,4,3,1,49,1,2
12689003,1,4,4,1,36,2,2
30549698,1,1,1,1,62,2,1
11837502,1,3,1,1,66,999,1
11837502,1,3,2,1,32,1,3
11837502,1,3,3,1,36,2,3
70710924,1,1,1,2,23,2,997
13949447,1,4,1,1,18,2,4
13949447,1,4,2,1,20,2,4
13949447,1,4,3,1,49,2,2
13949447,1,4,4,1,59,1,2
34821983,1,3,1,1,55,1,1
34821983,1,3,2,1,27,1,3
34821983,1,3,3,1,23,2,3
28241619,999,1,1,1,67,2,1
46838614,1,1,1,1,64,2,1
85232112,1,2,1,2,8,999,3
85232112,1,2,2,2,38,999,1
15806456,1,1,1,1,65,1,1
56107256,1,3,1,1,56,1,2
56107256,1,3,2,1,56,2,2
56107256,1,3,3,1,15,1,4
93580543,1,1,1,1,41,2,3
20708861,1,1,1,2,28,2,1
36292798,1,2,1,1,83,1,2
36292798,1,2,2,1,83,2,2
65126455,1,3,1,1,42,2,1
65126455,1,3,2,1,15,2,3
65126455,1,3,3,1,10,1,3
88500643,1,4,1,1,3,2,3
88500643,1,4,2,1,5,2,3
88500643,1,4,3,2,63,2,2
88500643,1,4,4,2,28,1,1
81318554,1,4,1,2,33,1,2
81318554,1,4,2,2,33,2,2
81318554,1,4,3,2,8,2,4
81318554,1,4,4,2,3,1,4
17897806,1,1,1,1,64,2,1
58971485,1,3,1,2,48,2,2
58971485,1,3,2,2,53,1,2
58971485,1,3,3,2,18,1,4
15751629,1,2,1,2,43,2,2
15751629,1,2,2,1,18,1,4
96472017,1,2,1,2,38,2,2
96472017,1,2,2,2,58,1,2
28574438,1,3,1,1,75,2,2
28574438,1,3,2,1,38,2,1
28574438,1,3,3,1,8,1,3
55646506,2,1,1,1,69,1,1
46269850,1,1,1,2,28,2,1
35905977,1,3,1,1,60,2,1
35905977,1,3,2,1,34,2,3
35905977,1,3,3,1,31,1,3
31244464,1,2,1,1,39,999,3
31244464,1,2,2,1,19,999,6
48583070,1,2,1,2,43,2,2
48583070,1,2,2,2,63,1,2
81336290,1,2,1,1,5,1,3
81336290,1,2,2,1,35,2,1
69484780,1,3,1,2,53,1,2
69484780,1,3,2,2,48,2,2
69484780,1,3,3,2,23,2,4
79834335,1,2,1,2,58,1,1
79834335,1,2,2,2,23,1,3
18380719,1,4,1,2,38,2,997
18380719,1,4,2,2,3,2,3
18380719,1,4,3,2,8,1,3
18380719,1,4,4,2,38,1,1
95096411,1,4,1,2,38,2,2
95096411,1,4,2,2,43,1,2
95096411,1,4,3,2,13,1,4
95096411,1,4,4,2,13,1,4
88869875,1,1,1,1,75,1,1
93903925,1,4,1,1,53,1,1
93903925,1,4,2,1,25,2,3
93903925,1,4,3,1,28,1,3
93903925,1,4,4,1,18,2,3
83498309,1,2,1,1,12,1,3
83498309,1,2,2,2,43,2,1
33101941,1,2,1,1,62,1,1
33101941,1,2,2,1,29,1,3
85414106,1,3,1,2,8,1,3
85414106,1,3,2,2,38,1,1
85414106,1,3,3,2,63,2,2
49059689,1,1,1,2,28,1,1
68755928,1,2,1,2,53,1,1
68755928,1,2,2,1,17,1,3
48021733,1,2,1,1,67,1,2
48021733,1,2,2,1,63,2,2
12037142,1,2,1,1,65,1,1
12037142,1,2,2,1,34,1,3
56317255,1,3,1,1,54,2,1
56317255,1,3,2,1,24,1,3
56317255,1,3,3,1,22,1,3
43862142,1,2,1,1,0,1,2
43862142,1,2,2,1,0,2,2
35572467,1,2,1,2,53,1,1
35572467,1,2,2,2,23,1,3
64914252,1,1,1,2,63,2,2
98611393,1,3,1,1,52,2,1
98611393,1,3,2,1,23,2,3
98611393,1,3,3,1,19,1,3
61193493,1,4,1,2,48,1,1
61193493,1,4,2,2,63,2,2
61193493,1,4,3,2,8,1,3
61193493,1,4,4,2,48,2,997
93916891,1,3,1,1,47,2,1
93916891,1,3,2,1,18,2,3
93916891,1,3,3,1,20,999,3
45293310,1,2,1,1,64,1,2
45293310,1,2,2,1,62,2,2
14847207,1,3,1,2,43,1,1
14847207,1,3,2,2,8,1,3
14847207,1,3,3,2,3,2,3
49249560,1,1,1,1,49,999,1
62135461,1,3,1,1,21,1,4
62135461,1,3,2,2,38,2,2
62135461,1,3,3,1,18,1,7
92618191,1,1,1,1,60,2,1
90291648,1,1,1,2,43,1,1
84252995,1,1,1,1,62,2,1
73016379,1,1,1,1,75,2,5
99116042,1,3,1,1,63,1,1
99116042,1,3,2,1,88,2,2
99116042,1,3,3,1,18,2,3
13643403,999,1,1,1,65,2,1
10495813,1,3,1,2,48,2,2
10495813,1,3,2,2,48,1,2
10495813,1,3,3,1,18,2,4
34627653,1,2,1,2,53,2,2
34627653,1,2,2,2,53,1,2
72459175,1,1,1,1,51,2,1
78745890,1,3,1,1,53,1,1
78745890,1,3,2,1,28,1,3
78745890,1,3,3,1,26,1,3
98326524,1,3,1,1,15,1,3
98326524,1,3,2,1,13,2,3
98326524,1,3,3,1,38,2,999
61767959,1,3,1,1,56,1,2
61767959,1,3,2,1,51,2,2
61767959,1,3,3,1,24,1,3
84930880,1,5,1,2,8,1,3
84930880,1,5,2,2,13,1,3
84930880,1,5,3,2,13,2,3
84930880,1,5,4,2,38,2,1
84930880,1,5,5,2,63,2,2
55603182,1,3,1,2,47.5,2,1
55603182,1,3,2,2,22.5,2,3
55603182,1,3,3,2,12.5,1,3
29331062,1,2,1,1,32,2,3
29331062,1,2,2,1,20,2,3
11857415,1,7,1,2,13,999,4
11857415,1,7,2,2,18,999,4
11857415,1,7,3,2,38,999,2
11857415,1,7,4,2,48,999,2
11857415,1,7,5,2,63,999,5
11857415,1,7,6,2,63,999,5
11857415,1,7,7,2,28,999,997
42555022,1,3,1,1,70,1,1
42555022,1,3,2,1,37,1,3
42555022,1,3,3,1,8,1,3
64699726,1,2,1,2,53,2,2
64699726,1,2,2,1,1,1,3
13344417,1,2,1,2,58,1,2
13344417,1,2,2,2,58,2,2
31377488,1,1,1,1,52,2,1
85270245,1,4,1,1,67,2,2
85270245,1,4,2,1,35,1,1
85270245,1,4,3,1,3,2,3
85270245,1,4,4,1,1,1,3
94917207,1,2,1,2,53,1,2
94917207,1,2,2,2,48,2,2
86544485,1,4,1,2,58,1,2
86544485,1,4,2,2,48,2,2
86544485,1,4,3,2,28,1,4
86544485,1,4,4,2,18,2,4
49658715,1,4,1,2,48,1,4
49658715,1,4,2,2,63,1,2
49658715,1,4,3,2,63,2,2
49658715,1,4,4,2,38,2,1
69637785,1,2,1,2,13,2,3
69637785,1,2,2,2,43,2,1
11724464,1,3,1,1,58,1,1
11724464,1,3,2,1,27,2,3
11724464,1,3,3,1,24,1,3
80581246,1,1,1,1,55,999,1
67137517,1,3,1,1,50,2,9
67137517,1,3,2,2,38,2,9
67137517,1,3,3,2,43,2,8
85274949,1,1,1,1,22,999,6
37783600,1,1,1,2,53,1,1
88729992,1,2,1,1,40,1,3
88729992,1,2,2,1,70,2,1
31929510,1,1,1,1,83,2,2
60307151,1,3,1,1,67,2,1
60307151,1,3,2,1,39,2,3
60307151,1,3,3,1,32,1,3
17426732,1,3,1,1,34,1,4
17426732,1,3,2,1,83,1,5
17426732,1,3,3,1,71,2,5
91265091,1,3,1,1,66,2,1
91265091,1,3,2,1,33,1,3
91265091,1,3,3,1,30,1,3
50618404,1,3,1,1,46,2,2
50618404,1,3,2,1,56,1,2
50618404,1,3,3,1,15,1,4
87490160,1,2,1,1,21,2,3
87490160,1,2,2,1,19,2,3
93931754,1,5,1,2,3,1,3
93931754,1,5,2,2,3,2,3
93931754,1,5,3,2,33,2,1
93931754,1,5,4,2,33,2,997
93931754,1,5,5,2,33,2,997
63521733,1,2,1,2,53,2,1
63521733,1,2,2,2,53,2,1
61270511,1,1,1,1,27,2,3
22119973,1,3,1,2,48,2,2
22119973,1,3,2,2,18,1,4
22119973,1,3,3,2,23,1,8
74002564,1,1,1,1,18,1,3
99155650,1,1,1,1,54,1,1
21654428,1,5,1,1,8,1,4
21654428,1,5,2,2,43,1,2
21654428,1,5,3,2,43,2,2
21654428,1,5,4,2,13,2,4
21654428,1,5,5,2,58,2,5
78886714,1,4,1,2,38,1,1
78886714,1,4,2,2,63,2,2
78886714,1,4,3,2,8,2,3
78886714,1,4,4,2,8,2,3
75606099,1,2,1,2,38,2,4
75606099,1,2,2,2,13,1,3
50668489,1,5,1,1,47,1,2
50668489,1,5,2,1,39,2,2
50668489,1,5,3,1,82,1,5
50668489,1,5,4,1,77,2,5
50668489,1,5,5,1,17,2,4
85062676,1,2,1,1,92,2,2
85062676,1,2,2,1,27,2,997
75580612,1,2,1,1,12,1,3
75580612,1,2,2,1,7,2,3
35366189,1,2,1,1,85,2,2
35366189,1,2,2,1,31,2,997
62826765,1,2,1,2,33,2,2
62826765,1,2,2,2,33,1,2
77166129,1,3,1,2,13,1,3
77166129,1,3,2,2,13,1,3
77166129,1,3,3,2,43,2,1
18994564,1,1,1,2,33,1,1
80595998,1,4,1,1,83,2,2
80595998,1,4,2,1,47,2,1
80595998,1,4,3,1,13,1,3
80595998,1,4,4,1,5,1,3
79679001,1,3,1,2,53,2,1
79679001,1,3,2,2,18,2,3
79679001,1,3,3,2,18,1,3
10667596,1,2,1,2,53,1,2
10667596,1,2,2,2,48,2,2
40283356,1,2,1,1,67,1,1
40283356,1,2,2,1,25,2,3
61949230,1,5,1,1,85,2,5
61949230,1,5,2,1,58,2,1
61949230,1,5,3,1,26,1,4
61949230,1,5,4,1,23,1,3
61949230,1,5,5,1,42,2,997
30993804,1,2,1,1,35,2,1
30993804,1,2,2,1,9,1,3
43217961,1,2,1,1,31,1,3
43217961,1,2,2,1,54,2,1
46676194,1,1,1,1,46,2,1
91702300,1,1,1,1,30,2,1
71707892,1,5,1,1,1,2,3
71707892,1,5,2,1,26,1,1
71707892,1,5,3,1,54,2,997
71707892,1,5,4,1,65,1,2
71707892,1,5,5,2,65,2,2
89989315,1,1,1,1,68,2,1
19787052,1,1,1,2,43,2,1
10946094,1,1,1,2,48,2,2
63833365,999,2,1,1,50,2,4
63833365,999,2,2,1,58,2,4
93908272,1,1,1,1,54,1,1
21006078,1,3,1,1,58,2,1
21006078,1,3,2,1,36,1,3
21006078,1,3,3,1,31,2,997
53506126,1,4,1,1,50,1,1
53506126,1,4,2,1,23,1,3
53506126,1,4,3,1,78,1,2
53506126,1,4,4,1,23,1,3
44779421,1,4,1,2,58,1,2
44779421,1,4,2,2,48,2,2
44779421,1,4,3,1,22,1,4
44779421,1,4,4,1,27,1,7
83650268,1,5,1,1,93,2,2
83650268,1,5,2,1,55,1,1
83650268,1,5,3,1,16,2,3
83650268,1,5,4,1,14,1,3
83650268,1,5,5,1,41,2,997
55697547,1,2,1,2,53,1,2
55697547,1,2,2,2,18,1,1
27992971,1,5,1,1,55,2,1
27992971,1,5,2,1,33,1,997
27992971,1,5,3,1,33,2,997
27992971,1,5,4,1,6,2,997
27992971,1,5,5,1,0,2,997
88005481,1,2,1,1,54,1,1
88005481,1,2,2,1,17,1,3
76739432,1,3,1,1,42,2,997
76739432,1,3,2,1,20,1,3
76739432,1,3,3,1,16,1,3
45863335,1,3,1,1,43,1,2
45863335,1,3,2,1,40,2,2
45863335,1,3,3,1,15,2,4
14400868,1,2,1,1,61,2,1
14400868,1,2,2,1,20,1,3
53329656,2,3,1,2,13,2,997
53329656,2,3,2,2,48,2,2
53329656,2,3,3,2,48,1,2
24149384,1,4,1,1,56,1,2
24149384,1,4,2,1,53,2,2
24149384,1,4,3,1,23,2,2
24149384,1,4,4,1,20,2,2
84696974,1,3,1,1,56,2,1
84696974,1,3,2,1,25,1,3
84696974,1,3,3,1,4,2,6
91211292,1,4,1,2,23,2,1
91211292,1,4,2,2,48,2,2
91211292,1,4,3,2,58,1,2
91211292,1,4,4,2,33,2,999
98519464,1,3,1,1,2,1,3
98519464,1,3,2,2,28,1,1
98519464,1,3,3,2,33,2,997
61459785,1,3,1,2,13,1,4
61459785,1,3,2,2,38,2,2
61459785,1,3,3,2,38,1,2
19150944,1,3,1,2,48,2,2
19150944,1,3,2,2,18,2,4
19150944,1,3,3,2,13,2,4
97456570,1,2,1,1,78,1,2
97456570,1,2,2,1,76,2,2
24533540,1,2,1,2,38,1,2
24533540,1,2,2,2,33,2,2
13317389,1,2,1,1,68,2,1
13317389,1,2,2,1,35,2,3
29411242,1,3,1,2,33,1,1
29411242,1,3,2,2,13,2,3
29411242,1,3,3,2,8,2,3
47267353,1,4,1,1,40,2,1
47267353,1,4,2,1,13,999,3
47267353,1,4,3,1,8,999,3
47267353,1,4,4,1,23,999,997
46816817,1,10,1,1,68,2,5
46816817,1,10,2,1,41,1,997
46816817,1,10,3,1,27,1,999
46816817,1,10,4,1,29,2,997
46816817,1,10,5,1,12,2,999
46816817,1,10,6,1,50,2,999
46816817,1,10,7,1,30,1,999
46816817,1,10,8,1,5,2,999
46816817,1,10,9,1,7,2,999
46816817,1,10,10,1,9,2,999
69032437,1,3,1,2,48,1,1
69032437,1,3,2,2,18,1,3
69032437,1,3,3,2,18,1,3
80070306,1,5,1,2,53,2,2
80070306,1,5,2,2,58,1,2
80070306,1,5,3,2,28,1,4
80070306,1,5,4,2,23,2,1
80070306,1,5,5,2,23,1,8
29192718,1,2,1,1,54,2,1
29192718,1,2,2,1,30,2,3
67673773,1,3,1,2,38,2,2
67673773,1,3,2,2,43,1,2
67673773,1,3,3,1,9,2,4
78724340,1,1,1,2,48,2,1
72105847,1,1,1,2,52.5,2,2
25328987,1,1,1,2,43,1,1
66037401,1,2,1,1,60,1,1
66037401,1,2,2,1,27,1,3
60332682,1,3,1,1,57,1,1
60332682,1,3,2,1,23,2,3
60332682,1,3,3,1,20,1,3
91856194,1,2,1,1,84,2,2
91856194,1,2,2,1,13,2,3
75622875,1,1,1,2,58,2,997
74395000,1,2,1,2,38,2,1
74395000,1,2,2,2,3,2,3
90787499,1,3,1,1,76,2,1
90787499,1,3,2,1,50,2,3
90787499,1,3,3,1,37,2,997
25907403,1,2,1,1,61,1,2
25907403,1,2,2,1,54,2,2
38831031,1,2,1,2,65,2,1
38831031,1,2,2,2,35,1,3
35792872,1,3,1,1,36,1,1
35792872,1,3,2,1,12,2,3
35792872,1,3,3,1,11,2,3
51017991,1,2,1,1,64,1,1
51017991,1,2,2,1,41,2,3
31667835,1,2,1,2,53,2,1
31667835,1,2,2,2,23,1,3
33476208,1,3,1,1,36,1,3
33476208,1,3,2,1,68,2,1
