participant_code,residence_type,num_usual_contacts,usual_contact_idx,usual_age_or_range,usual_age_or_mid_range,usual_gender,usual_relation
30880905,1,3,1,2,58,1,2
30880905,1,3,2,2,48,2,2
30880905,1,3,3,2,18,1,4
34505588,1,1,1,2,53,2,4
57938188,1,3,1,2,48,1,2
57938188,1,3,2,2,48,2,2
57938188,1,3,3,2,13,2,4
10739775,1,2,1,2,43,2,2
10739775,1,2,2,1,21,2,4
77710158,1,3,1,1,58,1,2
77710158,1,3,2,1,58,2,2
77710158,1,3,3,1,28,1,4
79384042,1,2,1,1,52,2,1
79384042,1,2,2,1,23,1,3
41925018,1,1,1,1,28,2,4
95953133,1,4,1,2,53,1,2
95953133,1,4,2,2,58,2,2
95953133,1,4,3,2,23,2,4
95953133,1,4,4,2,23,1,4
41944507,1,1,1,1,65,1,2
60178680,1,2,1,2,43,2,1
60178680,1,2,2,2,13,2,3
53631408,1,4,1,2,63,1,997
53631408,1,4,2,2,58,2,997
53631408,1,4,3,2,28,1,1
53631408,1,4,4,2,3,2,3
59824347,999,9,1,1,55,2,8
59824347,999,9,2,2,47.5,1,8
59824347,999,9,3,2,32.5,1,8
59824347,999,9,4,2,22.5,1,8
59824347,999,9,5,2,47.5,1,8
59824347,999,9,6,2,50,2,8
59824347,999,9,7,2,50,2,9
59824347,999,9,8,2,50,2,9
59824347,999,9,9,2,50,2,997
13019341,1,1,1,1,56,1,1
96350681,1,2,1,1,65,1,1
96350681,1,2,2,1,39,2,999
68362333,1,1,1,2,48,1,1
92885307,1,3,1,2,13,2,4
92885307,1,3,2,2,43,1,2
92885307,1,3,3,2,48,2,2
95443572,1,2,1,2,8,2,3
95443572,1,2,2,2,3,1,3
88871210,1,3,1,2,38,1,1
88871210,1,3,2,2,18,2,997
88871210,1,3,3,2,43,2,997
46523078,1,1,1,2,25,1,3
44598621,1,3,1,2,48,1,1
44598621,1,3,2,2,23,1,3
44598621,1,3,3,1,23,2,3
14066034,1,1,1,1,70,1,1
95569056,1,2,1,1,50,2,2
95569056,1,2,2,1,58,1,2
96442770,1,2,1,1,57,2,1
96442770,1,2,2,1,26,2,3
32396588,1,1,1,2,63,2,2
54970399,1,2,1,2,53,1,1
54970399,1,2,2,2,28,2,999
39674114,1,2,1,2,53,2,1
39674114,1,2,2,2,18,2,3
98429940,1,3,1,2,23,1,4
98429940,1,3,2,2,53,2,2
98429940,1,3,3,2,63,1,2
39854810,1,1,1,1,56,999,1
32879731,1,2,1,1,50,2,1
32879731,1,2,2,1,20,1,3
82618644,1,1,1,1,96,2,2
89609207,1,3,1,2,8,1,3
89609207,1,3,2,2,13,1,3
89609207,1,3,3,2,28,2,997
33403043,1,2,1,2,63,2,2
33403043,1,2,2,2,28,2,997
65326152,1,2,1,2,48,1,2
65326152,1,2,2,2,48,2,2
59199766,1,10,1,1,66,2,1
59199766,1,10,2,1,39,2,3
59199766,1,10,3,1,5,1,6
59199766,1,10,4,2,35,2,997
59199766,1,10,5,1,38,1,997
59199766,1,10,6,1,63,2,4
59199766,1,10,7,1,61,1,4
59199766,1,10,8,1,54,1,4
59199766,1,10,9,1,70,1,4
59199766,1,10,10,1,65,1,997
19963077,1,3,1,2,53,2,2
19963077,1,3,2,2,58,1,2
19963077,1,3,3,2,23,1,4
46089917,1,2,1,1,52,1,1
46089917,1,2,2,1,24,2,3
58163225,1,5,1,1,57,1,2
58163225,1,5,2,1,52,2,2
58163225,1,5,3,1,29,2,4
58163225,1,5,4,1,27,2,4
58163225,1,5,5,1,34,1,1
26937464,1,2,1,1,64,2,1
26937464,1,2,2,1,45,2,999
53035837,1,3,1,2,13,2,4
53035837,1,3,2,2,43,1,2
53035837,1,3,3,2,43,2,2
94899027,1,4,1,2,57.5,2,1
94899027,1,4,2,2,37.5,1,3
94899027,1,4,3,2,27.5,2,997
94899027,1,4,4,2,3,2,6
79740749,1,3,1,1,83,1,2
79740749,1,3,2,1,76,2,2
79740749,1,3,3,1,35,2,997
57555724,1,2,1,2,53,2,2
57555724,1,2,2,2,63,1,2
96476939,1,3,1,2,63,2,2
96476939,1,3,2,2,43,1,4
96476939,1,3,3,2,38,1,4
92507447,1,3,1,1,79,2,2
92507447,1,3,2,2,42.5,2,4
92507447,1,3,3,2,37.5,1,4
48451909,1,1,1,2,48,2,1
37553666,1,2,1,2,63,1,1
37553666,1,2,2,2,33,1,3
85006266,1,3,1,1,5,2,3
85006266,1,3,2,1,37,2,1
85006266,1,3,3,1,77,2,2
66529683,1,3,1,1,42,2,1
66529683,1,3,2,1,21,1,3
66529683,1,3,3,1,19,2,3
72977412,1,5,1,1,70,2,1
72977412,1,5,2,1,40,2,3
72977412,1,5,3,1,55,1,7
72977412,1,5,4,1,61,1,9
72977412,1,5,5,1,20,999,8
37594009,1,2,1,1,45,1,1
37594009,1,2,2,1,12,1,3
24498627,1,3,1,2,18,2,3
24498627,1,3,2,2,23,1,3
24498627,1,3,3,2,53,1,1
21975579,1,1,1,1,24,2,3
77748949,1,3,1,1,55,2,1
77748949,1,3,2,1,27,2,3
77748949,1,3,3,1,22,2,3
72769522,1,3,1,1,68,1,1
72769522,1,3,2,1,36,1,3
72769522,1,3,3,1,35,2,3
85278749,1,2,1,1,55,1,1
85278749,1,2,2,1,22,1,3
56189352,1,3,1,1,2,2,3
56189352,1,3,2,1,40,2,1
56189352,1,3,3,1,31,2,997
80565373,999,3,1,2,63,1,999
80565373,999,3,2,2,48,2,2
80565373,999,3,3,2,18,2,4
92574679,1,3,1,1,46,2,1
92574679,1,3,2,1,17,2,3
92574679,1,3,3,1,20,1,3
35591877,1,3,1,2,43,1,1
35591877,1,3,2,2,13,2,3
35591877,1,3,3,2,13,2,3
93749739,1,4,1,1,52,1,1
93749739,1,4,2,1,25,2,3
93749739,1,4,3,1,24,1,3
93749739,1,4,4,1,20,1,3
30325393,1,1,1,1,8,2,6
10358113,1,3,1,1,65,1,2
10358113,1,3,2,1,64,2,2
10358113,1,3,3,1,28,1,4
71246681,1,2,1,1,55,2,2
71246681,1,2,2,1,57,1,2
68593450,1,2,1,1,47,2,3
68593450,1,2,2,1,26,1,6
42922106,999,1,1,1,65,2,1
92112639,1,2,1,2,48,1,2
92112639,1,2,2,2,48,2,2
80651740,1,2,1,1,58,1,1
80651740,1,2,2,1,24,1,3
69657024,1,2,1,2,38,2,2
69657024,1,2,2,2,23,1,4
42279695,1,2,1,2,55,1,2
42279695,1,2,2,2,55,2,999
91113229,1,4,1,2,33,2,1
91113229,1,4,2,2,8,1,3
91113229,1,4,3,2,3,2,3
91113229,1,4,4,2,43,2,997
70915663,1,3,1,1,45,2,1
70915663,1,3,2,1,10,1,3
70915663,1,3,3,1,39,2,999
40023972,1,1,1,1,29,1,3
83766141,999,1,1,1,64,2,1
35400897,1,3,1,1,0,2,3
35400897,1,3,2,1,35,1,1
35400897,1,3,3,1,60,2,997
15207770,1,2,1,1,78,1,1
15207770,1,2,2,1,40,999,3
49995427,1,2,1,2,43,2,2
49995427,1,2,2,2,63,2,5
50519942,1,3,1,1,40,2,1
50519942,1,3,2,1,15,1,3
50519942,1,3,3,1,9,2,3
26742090,1,1,1,1,81,1,1
43269432,1,3,1,1,55,1,2
43269432,1,3,2,1,55,2,2
43269432,1,3,3,1,23,2,4
13851014,1,1,1,1,57,2,2
10532697,1,2,1,2,43,2,2
10532697,1,2,2,1,20,2,4
33755370,1,4,1,2,43,2,2
33755370,1,4,2,2,48,1,2
33755370,1,4,3,2,18,1,4
33755370,1,4,4,2,23,1,9
41001238,1,2,1,1,29,1,3
41001238,1,2,2,1,29,2,3
92159577,1,3,1,2,43,2,2
92159577,1,3,2,2,43,1,2
92159577,1,3,3,2,13,2,4
85315463,1,6,1,1,48,1,1
85315463,1,6,2,1,17,2,3
85315463,1,6,3,1,7,1,3
