participant_code,residence_type,num_usual_contacts
84786896,1,1
94444357,1,5
29184906,1,3
51688983,1,4
63866678,1,1
95291836,1,3
55816958,1,1
90000869,1,2
61051981,1,3
51267470,1,3
28653088,1,3
16420388,1,4
79557575,1,1
28028420,1,4
69062339,1,1
18723147,1,7
62637506,1,2
17521021,1,3
87588690,1,3
80080199,1,4
46626598,1,7
34711388,1,4
55787046,1,3
69373872,1,3
76281183,1,4
82408233,1,4
34177785,1,3
39635444,1,3
79726647,1,3
17003087,1,0
72078799,1,4
71960333,1,3
76052461,1,3
13167951,1,0
24809664,1,5
31489875,1,2
30040475,1,2
95195460,1,1
71542602,1,3
49875021,1,0
97513453,1,0
44463645,999,2
78151694,1,1
13444125,1,3
42642039,1,1
72708443,1,1
21228817,1,3
89181039,1,2
70346530,1,2
75083808,1,2
16192203,1,2
51580764,1,2
72126980,1,1
31937300,1,3
35266739,1,1
19633207,1,3
71798424,1,1
43193386,3,0
78845538,1,2
80797993,1,1
93127690,1,3
85430619,1,3
11256889,1,3
68000530,1,2
76066410,1,4
88449256,999,0
82344245,1,7
12689003,1,4
30549698,1,1
11837502,1,3
70710924,1,1
13949447,1,4
34821983,1,3
28241619,999,1
46838614,1,1
85232112,1,2
15806456,1,1
56107256,1,3
93580543,1,1
20708861,1,1
36292798,1,2
65126455,1,3
88500643,1,4
85660649,1,0
81318554,1,4
17897806,1,1
58971485,1,3
77283739,1,0
15751629,1,2
96472017,1,2
28574438,1,3
55646506,2,1
46269850,1,1
35905977,1,3
31244464,1,2
48583070,1,2
81336290,1,2
69484780,1,3
53478679,3,0
79834335,1,2
18380719,1,4
95096411,1,4
88869875,1,1
93903925,1,4
83498309,1,2
33101941,1,2
85414106,1,3
49059689,1,1
68755928,1,2
48021733,1,2
12037142,1,2
56317255,1,3
43862142,1,2
35572467,1,2
64914252,1,1
98611393,1,3
61193493,1,4
93916891,1,3
45293310,1,2
14847207,1,3
49249560,1,1
62135461,1,3
92618191,1,1
78509088,1,0
90291648,1,1
84252995,1,1
73016379,1,1
