participant_code,include_all_contacts,num_left_out,num_diary_contact
61711545,1,9001,24
32596110,997,2,2
50042587,997,5,13
77355737,1,9001,1
44029573,999,9001,1
62132019,997,100,8
66856327,1,9001,5
14732388,1,9001,9
76250789,1,9001,3
23764485,1,9001,2
57065386,1,9001,3
81170956,997,15,2
59783280,1,9001,8
84835192,999,9001,4
48245576,997,9,10
43803510,1,9001,2
96783978,1,9001,8
90754638,1,9001,2
16870246,1,9001,4
40025115,1,9001,6
42379809,1,9001,2
61780253,1,9001,17
81188111,1,9001,1
63271948,1,9001,6
84240327,1,9001,4
75802190,1,9001,6
22148144,997,10,12
75974112,1,9001,2
43878748,1,9001,11
99898669,1,9001,7
64093003,997,9001,6
45244375,1,9001,2
34262441,997,3,1
60638652,1,9001,3
52252915,1,9001,4
88325559,997,50,4
93861947,1,9001,25
79300630,1,9001,1
65669222,1,9001,4
50074653,1,9001,14
96129125,1,9001,9
69686269,1,9001,12
51480006,1,9001,15
77400450,1,9001,1
34840824,1,9001,1
61277462,1,9001,10
16030864,997,10,6
80692557,997,20,3
42252204,1,9001,2
79510513,997,10,2
44169606,997,10,14
36996736,999,9001,2
44255633,997,1,3
29277603,997,3,2
63322807,1,9001,4
35964366,1,9001,3
97353068,999,9001,6
65971613,997,4,1
67780617,1,9001,5
90340922,1,9001,9
47405812,997,2,4
21493813,999,9001,1
25993392,997,10,22
39048243,1,9001,17
99569871,997,5,1
11772427,1,9001,5
63008192,1,9001,7
96990501,1,9001,5
51570411,997,16,21
29061212,997,6,4
71179205,1,9001,10
80433299,997,15,10
42281271,1,9001,6
62675382,1,9001,2
15392694,999,9001,0
41863876,997,4,10
80014822,1,9001,6
70840470,997,8,56
32332436,1,9001,1
61743700,1,9001,1
32308292,999,9001,7
60944735,1,9001,5
30242809,997,5,5
89306456,1,9001,19
71525487,999,9001,15
11006409,1,9001,2
98088766,1,9001,1
75774827,1,9001,3
10822794,1,9001,3
78658758,997,6,5
50895211,1,9001,2
13862807,1,9001,1
83550791,1,9001,23
24445376,997,3,15
15172510,997,3,2
18343372,999,9001,18
21070328,1,9001,6
55349938,1,9001,7
25593841,997,50,7
45580481,997,30,3
54263537,1,9001,1
80052567,997,10,11
85581222,1,9001,4
81491276,1,9001,3
78394560,1,9001,1
61487886,1,9001,2
29712625,1,9001,1
56633857,1,9001,5
65894683,997,30,2
92900359,1,9001,2
92644180,997,3,1
53976593,1,9001,10
47327306,1,9001,6
23007476,1,9001,9
50513512,997,10,14
71412551,1,9001,1
36215849,997,40,8
44867745,1,9001,6
28096802,997,20,6
53475379,1,9001,4
38409554,1,9001,2
85601735,1,9001,9
94649167,997,3,3
25281029,997,7,6
14703807,1,9001,3
59741633,1,9001,6
66044096,1,9001,5
42793015,997,33,14
17429347,1,9001,6
12464494,1,9001,11
50738539,997,2,6
52644438,997,12,1
27041623,997,5,14
12751877,1,9001,4
48264817,1,9001,7
98546700,1,9001,1
59460120,1,9001,1
62754155,997,2,6
68140325,1,9001,3
55327162,999,9001,10
50883182,997,9001,2
73855016,1,9001,5
46978852,1,9001,2
35715759,1,9001,2
42706748,997,30,21
13884579,999,9001,7
53811246,1,9001,26
61536246,997,20,14
77319220,997,3,8
73959330,1,9001,4
39045439,997,10,1
54470030,997,25,4
87001881,999,9001,13
36326162,999,9001,17
54378468,1,9001,2
47344771,997,3,1
49051874,997,10,6
69129801,1,9001,23
94169942,1,9001,9
11417589,1,9001,5
11319336,1,9001,11
