age_group_start,age_group_end,population_perc,population_count,age_mortality_rate_per_1000_2022
0,4,3.1,189600,0.44
5,9,3.9,262800,0.1
10,14,3.9,305600,0.1
15,19,3.6,284400,0.2
20,24,4.4,298700,0.2
25,29,6.2,411400,0.2
30,34,7.1,512000,0.3
35,39,7.9,567700,0.4
40,44,7.9,605300,0.6
45,49,7.9,563600,1.1
50,54,7.8,591500,1.8
55,59,8.5,576600,2.8
60,64,8.3,647200,3.9
65,69,6.6,583900,5.8
70,74,5,440100,9.4
75,79,2.7,288600,18.6
80,84,2.2,157700,38.7
85,100,3.1,245100,109
