Detection of other respiratory viruses in respiratory specimens in 2023,,,,,,,,,,,,,
Week number,Date,No. of specimen tested,Adenovirus,,RSV,,Human metapneumovirus,,Rhinovirus / Enterovirus,,,,
,,,No.,%,No.,%,No.,%,No.,%,Differentiation performed,Rhinovirus,Enterovirus
1,31/12/2023 - 06/01,7106,34,0.48,24,0.34,77,1.08,212,2.98,92,90,2
2,07/01 - 13/01,7401,25,0.34,21,0.28,109,1.47,204,2.76,51,50,1
3,14/01 - 20/01,6736,33,0.49,11,0.16,92,1.37,172,2.55,41,40,1
4,21/01 - 27/01,6584,29,0.44,14,0.21,83,1.26,171,2.6,41,41,0
5,28/01 - 03/02,7127,19,0.27,16,0.22,97,1.36,212,2.97,49,49,0
6,04/02 - 10/02,6478,18,0.28,20,0.31,106,1.64,190,2.93,44,43,1
7,11/02 - 17/02,7960,16,0.2,28,0.35,161,2.02,228,2.86,43,43,0
8,18/02 - 24/02,8766,23,0.26,40,0.46,212,2.42,242,2.76,49,49,0
9,25/02 - 02/03,7842,26,0.33,37,0.47,226,2.88,216,2.75,48,48,0
10,03/03 - 09/03,8436,28,0.33,49,0.58,227,2.69,205,2.43,45,44,1
11,10/03 - 16/03,8416,21,0.25,63,0.75,252,2.99,199,2.36,38,38,0
12,17/03 - 23/03,8834,22,0.25,70,0.79,287,3.25,262,2.97,41,40,1
13,24/03 - 30/03,7999,25,0.31,77,0.96,259,3.24,217,2.71,44,44,0
14,31/03 - 06/04,7983,19,0.24,57,0.71,210,2.63,179,2.24,38,37,1
15,07/04 - 13/04,7652,20,0.26,67,0.88,237,3.1,142,1.86,40,39,1
16,14/04 - 20/04,8096,18,0.22,74,0.91,237,2.93,132,1.63,39,38,1
17,21/04 - 27/04,8657,37,0.43,112,1.29,244,2.82,188,2.17,43,39,4
18,28/04 - 04/05,9217,50,0.54,127,1.38,234,2.54,267,2.9,40,35,5
19,05/05 - 11/05,8935,28,0.31,124,1.39,202,2.26,213,2.38,38,33,5
20,12/05 - 18/05,8667,16,0.18,91,1.05,136,1.57,182,2.1,39,36,3
21,19/05 - 25/05,8277,13,0.16,81,0.98,132,1.59,183,2.21,40,38,2
22,26/05 - 01/06,8063,20,0.25,87,1.08,102,1.27,189,2.34,50,42,8
23,02/06 - 08/06,7278,21,0.29,75,1.03,97,1.33,125,1.72,29,23,6
24,09/06 - 15/06,7323,18,0.25,61,0.83,121,1.65,156,2.13,43,35,8
25,16/06 - 22/06,7747,33,0.43,99,1.28,96,1.24,240,3.1,43,22,21
26,23/06 - 29/06,8400,53,0.63,125,1.49,96,1.14,302,3.6,40,15,25
27,30/06 - 06/07,7734,56,0.72,118,1.53,88,1.14,272,3.52,43,12,31
28,07/07 - 13/07,7929,47,0.59,121,1.53,66,0.83,238,3,42,18,24
29,14/07 - 20/07,7508,34,0.45,127,1.69,49,0.65,196,2.61,44,12,32
30,21/07 - 27/07,8128,23,0.28,175,2.15,56,0.69,175,2.15,44,15,29
31,28/07 - 03/08,7711,26,0.34,145,1.88,70,0.91,149,1.93,38,14,24
32,04/08 - 10/08,8051,21,0.26,161,2,59,0.73,172,2.14,40,14,26
33,11/08 - 17/08,7303,10,0.14,157,2.15,42,0.58,141,1.93,42,13,29
34,18/08 - 24/08,7208,13,0.18,161,2.23,48,0.67,139,1.93,39,14,25
35,25/08 - 31/08,7458,21,0.28,173,2.32,41,0.55,154,2.06,40,12,28
36,01/09 - 07/09,7061,9,0.13,141,2,29,0.41,173,2.45,42,18,24
37,08/09 - 14/09,6882,11,0.16,143,2.08,45,0.65,189,2.75,44,22,22
38,15/09 - 21/09,6890,14,0.2,83,1.2,32,0.46,236,3.43,43,29,14
39,22/09 - 28/09,6992,11,0.16,74,1.06,34,0.49,264,3.78,39,25,14
40,29/09 - 05/10,6707,12,0.18,115,1.71,38,0.57,285,4.25,46,31,15
41,06/10 - 12/10,6448,14,0.22,69,1.07,18,0.28,274,4.25,40,26,14
42,13/10 - 19/10,6836,16,0.23,53,0.78,11,0.16,252,3.69,47,39,8
43,20/10 - 26/10,6430,12,0.19,42,0.65,17,0.26,230,3.58,46,33,13
44,27/10 - 02/11,6688,13,0.19,38,0.57,12,0.18,192,2.87,51,40,11
45,03/11 - 09/11,6674,19,0.28,29,0.43,29,0.43,201,3.01,53,45,8
46,10/11 - 16/11,7007,15,0.21,35,0.5,32,0.46,242,3.45,50,45,5
47,17/11 - 23/11,6825,8,0.12,35,0.51,19,0.28,187,2.74,55,45,10
48,24/11 - 30/11,7082,19,0.27,47,0.66,23,0.32,282,3.98,54,45,9
49,01/12 - 07/12,7751,23,0.3,58,0.75,29,0.37,288,3.72,54,44,10
50,08/12 - 14/12,7638,21,0.27,37,0.48,51,0.67,248,3.25,56,53,3
51,15/12 - 21/12,7604,19,0.25,51,0.67,55,0.72,234,3.08,42,40,2
52,22/12 - 28/12,8037,8,0.1,23,0.29,33,0.41,257,3.2,59,58,1
,,,,,,,,,,,,,
Remarks:,,,,,,,,,,,,,
"1. For specimens received from 10 February 2014 onwards, molecular testing has replaced viral culture. Please interpret the data and trends in light of the enhanced sensitivity of molecular testing, and hence positive detection rates.",,,,,,,,,,,,,
2. Figures are subject to minor adjustments.,,,,,,,,,,,,,
3. Multiple specimens may have been received for testing from the same patient.,,,,,,,,,,,,,
"4.?As a result of disruptions in laboratory testing from?early 2020 to early 2023, please interpret the data with caution.",,,,,,,,,,,,,
