Detection of other respiratory viruses in respiratory specimens in 2017,,,,,,,,,,,
Week number,Date,No. of specimen tested,Adenovirus,,RSV,,Rhinovirus / Enterovirus,,,,
,,,No.,%,No.,%,No.,%,Differentiation performed,Rhinovirus,Enterovirus
1,01/01 - 07/01,3777,161,4.26,75,1.99,374,9.9,95,90,5
2,08/01 - 14/01,3999,123,3.08,81,2.03,422,10.55,103,98,5
3,15/01 - 21/01,3780,122,3.23,96,2.54,398,10.53,83,81,2
4,22/01 - 28/01,3464,100,2.89,87,2.51,404,11.66,74,70,4
5,29/01 - 04/02,4405,103,2.34,133,3.02,413,9.38,106,103,3
6,05/02 - 11/02,4104,96,2.34,116,2.83,325,7.92,88,79,9
7,12/02 - 18/02,4209,104,2.47,73,1.73,285,6.77,90,84,6
8,19/02 - 25/02,4321,57,1.32,96,2.22,254,5.88,96,89,7
9,26/02 - 04/03,4103,71,1.73,95,2.32,257,6.26,94,89,5
10,05/03 - 11/03,4222,102,2.42,87,2.06,297,7.03,94,89,5
11,12/03 - 18/03,4167,76,1.82,96,2.3,291,6.98,83,78,5
12,19/03 - 25/03,4095,82,2,79,1.93,256,6.25,100,90,10
13,26/03 - 01/04,4116,82,1.99,84,2.04,290,7.05,92,85,7
14,02/04 - 08/04,4084,114,2.79,97,2.38,324,7.93,100,95,5
15,09/04 - 15/04,3202,83,2.59,63,1.97,221,6.9,79,73,6
16,16/04 - 22/04,4951,162,3.27,130,2.63,421,8.5,104,101,3
17,23/04 - 29/04,3948,130,3.29,98,2.48,294,7.45,84,77,7
18,30/04 - 06/05,4121,126,3.06,77,1.87,334,8.1,92,83,9
19,07/05 - 13/05,4157,124,2.98,81,1.95,374,9,93,86,7
20,14/05 - 20/05,4366,125,2.86,89,2.04,420,9.62,82,73,9
21,21/05 - 27/05,4412,112,2.54,68,1.54,499,11.31,96,84,12
22,28/05 - 03/06,4691,142,3.03,65,1.39,507,10.81,89,75,14
23,04/06 - 10/06,4456,137,3.07,61,1.37,463,10.39,83,68,15
24,11/06 - 17/06,4429,142,3.21,81,1.83,413,9.32,105,76,29
25,18/06 - 24/06,4441,134,3.02,79,1.78,332,7.48,92,60,32
26,25/06 - 01/07,4883,180,3.69,113,2.31,392,8.03,79,44,35
27,02/07 - 08/07,6153,200,3.25,167,2.71,477,7.75,108,57,51
28,09/07 - 15/07,6753,154,2.28,201,2.98,459,6.8,98,50,48
29,16/07 - 22/07,6839,152,2.22,271,3.96,380,5.56,88,51,37
30,23/07 - 29/07,6791,142,2.09,301,4.43,311,4.58,96,62,34
31,30/07 - 05/08,5742,91,1.58,299,5.21,294,5.12,93,62,31
32,06/08 - 12/08,5099,116,2.27,358,7.02,203,3.98,89,42,47
33,13/08 - 19/08,4590,78,1.7,341,7.43,194,4.23,94,59,35
34,20/08 - 26/08,4214,68,1.61,395,9.37,206,4.89,103,59,44
35,27/08 - 02/09,3835,79,2.06,323,8.42,220,5.74,87,68,19
36,03/09 - 09/09,3774,56,1.48,375,9.94,252,6.68,89,76,13
37,10/09 - 16/09,4046,58,1.43,401,9.91,363,8.97,95,78,17
38,17/09 - 23/09,4123,75,1.82,337,8.17,502,12.18,100,96,4
39,24/09 - 30/09,3898,61,1.56,329,8.44,487,12.49,94,91,3
40,01/10 - 07/10,3560,79,2.22,282,7.92,492,13.82,95,81,14
41,08/10 - 14/10,3838,87,2.27,259,6.75,482,12.56,82,73,9
42,15/10 - 21/10,3653,98,2.68,206,5.64,444,12.15,102,90,12
43,22/10 - 28/10,3348,108,3.23,120,3.58,436,13.02,90,77,13
44,29/10 - 04/11,4171,107,2.57,91,2.18,476,11.41,103,91,12
45,05/11 - 11/11,3891,95,2.44,74,1.9,448,11.51,81,72,9
46,12/11 - 18/11,3780,95,2.51,37,0.98,404,10.69,103,95,8
47,19/11 - 25/11,3667,93,2.54,30,0.82,398,10.85,101,95,6
48,26/11 - 02/12,3792,94,2.48,26,0.69,370,9.76,95,89,6
49,03/12 - 09/12,3882,98,2.52,33,0.85,413,10.64,102,99,3
50,10/12 - 16/12,4094,73,1.78,17,0.42,437,10.67,104,104,0
51,17/12 - 23/12,4085,75,1.84,24,0.59,405,9.91,100,96,4
52,24/12 - 30/12,4518,105,2.32,20,0.44,418,9.25,108,106,2
,,,,,,,,,,,
Remarks:,,,,,,,,,,,
"1. For specimens received from 10 February 2014 onwards, molecular testing has replaced viral culture. Please interpret the data and trends in light of the enhanced sensitivity of molecular testing, and hence positive detection rates.",,,,,,,,,,,
2. Figures are subject to minor adjustments.,,,,,,,,,,,
3. Multiple specimens may have been received for testing from the same patient.,,,,,,,,,,,
