 3.97129413e-01, 1.18874997e+00, 7.31226008e-03,-1.49207405e-03, 1.01398649e-01, 9.85018464e-02,-1.06126731e-01, 1.28134399e-01,-2.60917434e-01,-9.00566917e-02, 1.06162500e-01, 2.29719401e-01,-1.21384370e-01
 4.45228820e-01, 1.18874997e+00, 7.31226008e-03,-1.64981936e-04, 1.84210490e-01, 8.12555181e-02,-6.99751991e-02, 2.44141803e-01,-2.60917434e-01,-9.00566917e-02, 1.06162500e-01, 2.29719401e-01,-1.21384370e-01
 4.45228820e-01, 1.18874997e+00, 7.31226008e-03,-1.52645949e-03, 1.84210490e-01, 8.12555181e-02,-6.99751991e-02, 2.26360477e-01,-2.60917434e-01,-9.00566917e-02, 1.06162500e-01, 2.29719401e-01,-1.21384370e-01
 4.17499236e-01, 1.18874997e+00, 7.31226008e-03,-1.52645949e-03, 1.84210490e-01, 8.45043947e-02,-9.29580574e-02, 2.09145059e-01,-3.00649871e-01,-9.00566917e-02, 1.06162500e-01, 2.29719401e-01,-1.26572882e-01
 4.21825720e-01, 1.18874997e+00, 7.31226008e-03,-1.52645949e-03, 1.84210490e-01, 8.45043947e-02,-1.07330323e-01, 2.09145059e-01,-3.00649871e-01,-1.08557113e-01, 2.34109558e-01, 2.29719401e-01,-1.26572882e-01
 4.21825720e-01, 1.21045705e+00, 7.31226008e-03,-1.52645949e-03, 9.61510294e-02, 8.19171914e-02, 1.73498202e-02, 2.09145059e-01,-3.22652791e-01,-1.99914126e-01, 2.34109558e-01, 2.29719401e-01,-1.26572882e-01
 4.91325308e-01, 1.21045705e+00, 7.31226008e-03,-1.52645949e-03, 9.61510294e-02, 8.19171914e-02,-2.22468184e-02, 1.94052177e-01,-3.22652791e-01,-1.99914126e-01, 1.26164296e-01, 2.29719401e-01,-1.26572882e-01
 4.91325308e-01, 1.21045705e+00, 7.31226008e-03,-1.52645949e-03, 9.61510294e-02, 8.19171914e-02, 2.36965344e-03, 1.94052177e-01,-3.50160214e-01,-3.47431367e-02, 1.26164296e-01, 2.29719401e-01,-1.26572882e-01
 3.94552780e-01, 1.21045705e+00,-4.50839869e-02,-1.52645949e-03, 9.61510294e-02, 1.01628400e-01,-8.42338968e-02, 1.94052177e-01,-9.01356948e-02,-3.47431367e-02, 1.26164296e-01, 2.29719401e-01,-1.26572882e-01
 4.44408133e-01, 1.24073228e+00,-4.19778755e-02,-3.97637458e-03, 9.61510294e-02, 1.01628400e-01,-8.42338968e-02, 1.94052177e-01,-9.01356948e-02,-3.47431367e-02, 2.46164709e-01, 2.29719401e-01,-1.26572882e-01
