-1.87662930e+02,-1.60759114e+02,-2.03332574e+02,-5.98800581e+01,-3.07868756e+02,-9.27591190e+02,-2.43248884e+01
-1.87662930e+02,-1.60759114e+02,-2.09498311e+02,-6.02900467e+01,-3.12719674e+02,-9.22225694e+02,-2.51416040e+01
-1.87662930e+02,-1.60701874e+02,-2.10355712e+02,-5.98568354e+01,-3.11908423e+02,-9.23145476e+02,-2.45479197e+01
-1.86509584e+02,-1.60893185e+02,-2.09559017e+02,-5.92161356e+01,-3.07803128e+02,-9.29512148e+02,-2.63178444e+01
-1.84731256e+02,-1.60610939e+02,-2.11559964e+02,-5.89222503e+01,-3.15918911e+02,-9.24866592e+02,-2.59817240e+01
-1.86974600e+02,-1.60610939e+02,-2.06152191e+02,-6.22134648e+01,-3.08685590e+02,-9.27147048e+02,-2.44719383e+01
-1.86974600e+02,-1.60464252e+02,-2.06666644e+02,-6.30861403e+01,-3.12405910e+02,-9.23448111e+02,-2.47074805e+01
-1.86974600e+02,-1.60925350e+02,-2.05640716e+02,-6.46041400e+01,-3.21335646e+02,-9.12773437e+02,-2.52550961e+01
-1.86974600e+02,-1.60925350e+02,-2.11692678e+02,-6.06720204e+01,-3.16247957e+02,-9.18431443e+02,-2.42137433e+01
-1.86974600e+02,-1.60925350e+02,-2.11399111e+02,-6.13285433e+01,-3.07637191e+02,-9.27170586e+02,-2.43217574e+01
-1.86974600e+02,-1.61309699e+02,-2.09696835e+02,-6.09569102e+01,-3.14835558e+02,-9.21457224e+02,-2.35040878e+01
-1.86974600e+02,-1.61827045e+02,-2.08776989e+02,-5.99860585e+01,-3.14327715e+02,-9.20152954e+02,-2.40113864e+01
-1.87277329e+02,-1.62094216e+02,-2.08749430e+02,-5.94706988e+01,-3.13098519e+02,-9.20133333e+02,-2.40897024e+01
-1.87277329e+02,-1.62094216e+02,-2.03786930e+02,-6.10154996e+01,-3.16506647e+02,-9.17443222e+02,-2.41024842e+01
-1.86085732e+02,-1.62094216e+02,-2.01748357e+02,-6.05862311e+01,-3.10495467e+02,-9.24667912e+02,-2.53079777e+01
-1.86085732e+02,-1.62359891e+02,-2.01316936e+02,-6.02867469e+01,-3.13889364e+02,-9.19961906e+02,-2.52586633e+01
-1.87471737e+02,-1.61708046e+02,-2.01586847e+02,-6.15579617e+01,-3.01155656e+02,-9.30567522e+02,-2.50241570e+01
-1.87471737e+02,-1.62154681e+02,-1.96024961e+02,-6.01775709e+01,-3.03228571e+02,-9.27464117e+02,-2.58316170e+01
-1.84925547e+02,-1.61649176e+02,-2.01818801e+02,-6.09141466e+01,-3.08957398e+02,-9.28042700e+02,-2.57828007e+01
-1.84002122e+02,-1.61207170e+02,-2.17111115e+02,-5.89571800e+01,-3.11281895e+02,-9.28427925e+02,-2.51942545e+01
-1.84667337e+02,-1.61207170e+02,-2.15755385e+02,-5.95694920e+01,-3.09523896e+02,-9.28570022e+02,-2.54222830e+01
-1.86636361e+02,-1.61308850e+02,-2.13122685e+02,-6.13785518e+01,-3.09648018e+02,-9.25900381e+02,-2.55565713e+01
-1.85542296e+02,-1.61451350e+02,-2.14434472e+02,-6.03441546e+01,-3.16127353e+02,-9.21426165e+02,-2.49857669e+01
-1.86326977e+02,-1.61451350e+02,-2.14318674e+02,-6.10096572e+01,-3.05716214e+02,-9.33365048e+02,-2.72492414e+01
-1.86326977e+02,-1.61008719e+02,-2.17492839e+02,-6.10856244e+01,-3.05911897e+02,-9.33644802e+02,-2.45359192e+01
-1.85036294e+02,-1.61005760e+02,-2.13012072e+02,-5.94592301e+01,-3.23050942e+02,-9.18710672e+02,-2.40585098e+01
-1.86976866e+02,-1.61291070e+02,-2.10460949e+02,-6.09368349e+01,-3.20235334e+02,-9.20113841e+02,-2.46241253e+01
-1.86103228e+02,-1.61291070e+02,-2.03784257e+02,-5.98494799e+01,-3.14261197e+02,-9.25200373e+02,-2.62082208e+01
-1.85299809e+02,-1.60733159e+02,-2.04873888e+02,-5.95899568e+01,-3.14000544e+02,-9.27463840e+02,-2.54627516e+01
-1.85299809e+02,-1.60733159e+02,-2.04850877e+02,-5.92012697e+01,-3.13678745e+02,-9.27776946e+02,-2.53987556e+01
-1.86582886e+02,-1.60733159e+02,-2.04413434e+02,-5.92822370e+01,-3.08557007e+02,-9.31876714e+02,-2.46946646e+01
-1.85413711e+02,-1.60988680e+02,-2.04736979e+02,-6.00949069e+01,-3.14778270e+02,-9.27549558e+02,-2.45711051e+01
-1.85413711e+02,-1.61622316e+02,-2.03094879e+02,-6.24746470e+01,-3.15030546e+02,-9.23371257e+02,-2.43583210e+01
-1.85957286e+02,-1.61622316e+02,-1.99957946e+02,-6.24349048e+01,-3.11699078e+02,-9.25731803e+02,-2.47546992e+01
-1.86117294e+02,-1.61622316e+02,-2.00070209e+02,-6.11693547e+01,-3.01853306e+02,-9.35003485e+02,-2.57050639e+01
-1.86504706e+02,-1.61422868e+02,-2.00176054e+02,-6.02581650e+01,-3.01531087e+02,-9.34591608e+02,-2.57723411e+01
-1.86504706e+02,-1.61422868e+02,-2.03309660e+02,-5.89754921e+01,-3.17084187e+02,-9.21413291e+02,-2.38156247e+01
-1.86504706e+02,-1.61727801e+02,-2.01165411e+02,-6.01908673e+01,-3.13900891e+02,-9.24307749e+02,-2.55410232e+01
-1.86577906e+02,-1.61563415e+02,-2.01592459e+02,-5.94402773e+01,-3.04681966e+02,-9.33072706e+02,-2.63974258e+01
-1.85383032e+02,-1.61563415e+02,-2.03089850e+02,-5.99779240e+01,-3.10876330e+02,-9.27101680e+02,-2.57966578e+01
-1.85383032e+02,-1.61563415e+02,-1.97767104e+02,-5.98181339e+01,-3.30750835e+02,-9.09841765e+02,-2.45248932e+01
