"age","population"
"00_04",320979
"05_09",343817
"10_14",263573
"15_19",276778
"20_24",361982
"25_29",456640
"30_34",468083
"35_39",535531
"40_44",528780
"45_49",539450
"50_54",564408
"55_59",654453
"60_64",596949
"65_69",459965
"70_74",340171
"75+",535189
