Region Code: AS
"Region Name: Asia"
Country Code: THA
"Country Name: Thailand"
Export date: 3/28/2025 9:15:28 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG1480,Injuries,2019,Male,Age_all,[All],32098.00000000,11.46668381,91.38380138,100.00952487,
CG1480,Injuries,2019,Male,Age01_04,[1-4],262.00000000,35.02673797,,18.91536960,
CG1480,Injuries,2019,Male,Age35_39,[35-39],2716.00000000,30.00773395,,107.39138188,
CG1480,Injuries,2019,Male,Age45_49,[45-49],2792.00000000,16.24672680,,109.82928862,
CG1480,Injuries,2019,Male,Age70_74,[70-74],1307.00000000,4.81364172,,155.01834838,
CG1480,Injuries,2019,Male,Age80_84,[80-84],707.00000000,2.59668711,,187.47348324,
CG1610,Ill-defined diseases,2019,Male,Age10_14,[10-14],86.00000000,7.18462824,,4.20634366,
CG1610,Ill-defined diseases,2019,Male,Age20_24,[20-24],339.00000000,8.26023392,,14.06275473,
CG1610,Ill-defined diseases,2019,Male,Age55_59,[55-59],3395.00000000,13.57402743,,159.77026965,
CG1610,Ill-defined diseases,2019,Male,Age65_69,[65-69],4407.00000000,15.60939326,,349.77911612,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age10_14,[10-14],73.00000000,13.41911765,,3.77589202,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age20_24,[20-24],279.00000000,22.48186946,,12.08238890,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age55_59,[55-59],1707.00000000,13.14796272,,71.47014122,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age65_69,[65-69],2724.00000000,14.01595060,,179.15890026,
CG0590,Noncommunicable diseases,2019,Female,Age00,[0],594.00000000,39.86577181,,202.81897894,
CG0590,Noncommunicable diseases,2019,Female,Age05_09,[5-9],168.00000000,35.97430407,,9.00683072,
CG0590,Noncommunicable diseases,2019,Female,Age30_34,[30-34],885.00000000,44.45002511,,38.97013171,
CG0590,Noncommunicable diseases,2019,Female,Age40_44,[40-44],2858.00000000,58.93998763,,108.58831768,
CG0590,Noncommunicable diseases,2019,Female,Age75_79,[75-79],13781.00000000,54.42733017,,1874.67522040,
CG0590,Noncommunicable diseases,2019,Female,Age85_over,[85+],26025.00000000,48.18641338,,5439.54217970,
CG0590,Noncommunicable diseases,2019,Female,Age_unknown,[Unknown],1.00000000,50.00000000,,,
CG1480,Injuries,2019,Female,Age00,[0],45.00000000,3.02013423,,15.36507416,
CG1480,Injuries,2019,Female,Age20_24,[20-24],458.00000000,36.90572119,,19.83417246,
CG1480,Injuries,2019,Female,Age30_34,[30-34],471.00000000,23.65645404,,20.74003620,
CG1480,Injuries,2019,Female,Age65_69,[65-69],615.00000000,3.16439413,,40.44887065,
CG1480,Injuries,2019,Female,Age75_79,[75-79],439.00000000,1.73380727,,59.71862868,
CG1480,Injuries,2019,Female,Age_unknown,[Unknown],0.00000000,0.00000000,,,
CG1610,Ill-defined diseases,2019,Female,Age05_09,[5-9],58.00000000,12.41970021,,3.10950108,
