Country area or territory,Surveillance site type,Year-week (ISO 8601 calendar),Week start date (ISO 8601 calendar),Specimen tested,Influenza positive,Influenza negative,A (H1N1)pdm09,A (H3),A not subtyped,B (Victoria),B (Yamagata),B (lineage not determined)
Thailand,Not defined,2024-23,6/3/2024,173,17,156,16,0,NA,1,NA,0
Thailand,Not defined,2024-24,6/10/2024,171,23,148,21,0,NA,2,NA,0
Thailand,Not defined,2024-25,6/17/2024,188,36,152,32,3,NA,1,NA,0
Thailand,Not defined,2024-26,6/24/2024,218,41,177,37,2,NA,2,NA,0
Thailand,Not defined,2024-27,7/1/2024,201,49,152,38,9,NA,2,NA,0
Thailand,Not defined,2024-28,7/8/2024,197,50,147,43,3,NA,4,NA,0
Thailand,Not defined,2024-29,7/15/2024,276,63,213,54,7,NA,2,NA,0
Thailand,Not defined,2024-30,7/22/2024,254,63,191,49,12,NA,2,NA,0
Thailand,Not defined,2024-31,7/29/2024,151,23,128,15,8,NA,0,NA,0
Thailand,Not defined,2024-32,8/5/2024,275,66,209,48,15,NA,3,NA,0
Thailand,Not defined,2024-33,8/12/2024,133,37,96,33,2,NA,2,NA,0
Thailand,Not defined,2024-34,8/19/2024,186,36,150,23,11,NA,2,NA,0
Thailand,Not defined,2024-35,8/26/2024,235,47,188,23,20,NA,4,NA,0
Thailand,Not defined,2024-36,9/2/2024,222,41,181,20,19,NA,2,NA,0
Thailand,Not defined,2024-37,9/9/2024,213,48,165,22,17,NA,9,NA,0
Thailand,Not defined,2024-38,9/16/2024,197,26,171,14,9,NA,3,NA,0
Thailand,Not defined,2024-39,9/23/2024,179,21,158,13,5,NA,3,NA,0
Thailand,Not defined,2024-40,9/30/2024,157,30,127,11,8,NA,11,NA,0
Thailand,Not defined,2024-41,10/7/2024,246,42,204,17,17,NA,8,NA,0
Thailand,Not defined,2024-42,10/14/2024,128,16,112,5,5,NA,6,NA,0
Thailand,Not defined,2024-43,10/21/2024,121,8,113,2,2,NA,4,NA,0
Thailand,Not defined,2024-44,10/28/2024,235,20,215,9,7,NA,4,NA,0
Thailand,Not defined,2024-45,11/4/2024,159,15,144,0,5,NA,10,NA,0
Thailand,Not defined,2024-46,11/11/2024,185,20,165,7,7,NA,6,NA,0
Thailand,Not defined,2024-47,11/18/2024,146,14,132,4,4,NA,6,NA,0
Thailand,Not defined,2024-48,11/25/2024,215,13,202,5,1,NA,7,NA,0
Thailand,Not defined,2024-49,12/2/2024,77,6,71,0,1,NA,5,NA,0
Thailand,Not defined,2024-50,12/9/2024,158,10,148,3,2,NA,5,NA,0
Thailand,Not defined,2024-51,12/16/2024,224,19,205,11,2,NA,6,NA,0
Thailand,Not defined,2024-52,12/23/2024,122,14,108,3,2,NA,9,NA,0
Thailand,Not defined,2025-01,12/30/2024,48,7,41,0,3,NA,4,NA,0
Thailand,Not defined,2025-02,1/6/2025,293,31,262,15,8,NA,8,NA,0
Thailand,Not defined,2025-03,1/13/2025,186,27,159,12,8,NA,7,NA,0
Thailand,Not defined,2025-04,1/20/2025,252,45,207,24,11,NA,10,NA,0
Thailand,Not defined,2025-05,1/27/2025,240,48,192,24,5,NA,19,NA,0
Thailand,Not defined,2025-06,2/3/2025,116,28,88,7,9,NA,12,NA,0
Thailand,Not defined,2025-07,2/10/2025,134,35,99,9,10,NA,16,NA,0
Thailand,Not defined,2025-08,2/17/2025,172,45,127,15,10,NA,20,NA,0
Thailand,Not defined,2025-09,2/24/2025,159,41,118,22,10,NA,9,NA,0
Thailand,Not defined,2025-10,3/3/2025,172,52,120,28,16,NA,8,NA,0
Thailand,Not defined,2025-11,3/10/2025,135,42,93,22,11,NA,9,NA,0
