Country,Cases of influenza-like illnesses,Year,Week
Thailand,86770,2015,10
Thailand,79656,2015,11
Thailand,72257,2015,12
Thailand,63857,2015,13
Thailand,55207,2015,14
Thailand,51213,2015,15
Thailand,59811,2015,16
Thailand,54748,2015,17
Thailand,50302,2015,18
Thailand,52261,2015,19
Thailand,58422,2015,20
Thailand,72209,2015,21
Thailand,76771,2015,22
Thailand,83405,2015,23
Thailand,86672,2015,24
Thailand,92914,2015,25
Thailand,89705,2015,26
Thailand,82782,2015,27
Thailand,77263,2015,28
Thailand,81716,2015,29
Thailand,74116,2015,30
Thailand,87885,2015,31
Thailand,87640,2015,32
Thailand,95548,2015,33
Thailand,96742,2015,34
Thailand,96726,2015,35
Thailand,98779,2015,36
Thailand,91600,2015,37
Thailand,89489,2015,38
Thailand,94113,2015,39
Thailand,96043,2015,40
Thailand,87176,2015,41
Thailand,79154,2015,42
Thailand,85529,2015,43
Thailand,68498,2015,44
Thailand,77124,2015,45
Thailand,78281,2015,46
Thailand,120658,2015,47
Thailand,113106,2015,48
Thailand,99653,2015,49
Thailand,99131,2015,50
Thailand,95326,2015,51
Thailand,78197,2015,52
Thailand,102233,2016,1
Thailand,106868,2016,2
Thailand,107955,2016,3
Thailand,104470,2016,4
Thailand,114791,2016,5
Thailand,127996,2016,6
Thailand,127340,2016,7
Thailand,116554,2016,8
Thailand,115373,2016,9
Thailand,102425,2016,10
Thailand,83432,2016,11
Thailand,53269,2016,12
Thailand,0,2016,13
Thailand,0,2016,14
Thailand,0,2016,15
Thailand,0,2016,16
Thailand,0,2016,17
Thailand,0,2016,18
Thailand,0,2016,19
Thailand,0,2016,20
Thailand,0,2016,21
Thailand,0,2016,22
Thailand,0,2016,23
Thailand,0,2016,24
Thailand,0,2016,25
Thailand,0,2016,26
Thailand,0,2016,27
Thailand,0,2016,28
Thailand,0,2016,29
Thailand,0,2016,30
Thailand,0,2016,31
Thailand,0,2016,32
Thailand,0,2016,33
Thailand,0,2016,34
Thailand,0,2016,35
Thailand,0,2016,36
Thailand,0,2016,37
Thailand,0,2016,38
Thailand,0,2016,39
Thailand,0,2016,40
Thailand,0,2016,41
Thailand,0,2016,42
Thailand,0,2016,43
Thailand,89070,2016,44
Thailand,92487,2016,45
Thailand,102712,2016,46
Thailand,100335,2016,47
Thailand,97119,2016,48
Thailand,93140,2016,49
Thailand,90898,2016,50
Thailand,87759,2016,51
Thailand,75828,2016,52
Thailand,82205,2017,1
